<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,~~~<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>~~~,,~~~<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>~~~,,<a id=15 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
<a href='https://hf.co/bineric/lynx-instruct-30b'>bineric/lynx-instruct-30b#thinking</a>,🤔,2.33@@2.33,30532122624.0,151936.0,262144.0,✓,✗,(✓),✗,49.44 ± 0.41 / 64.75 ± 0.42@@49.44,68.74 ± 1.15 / 53.27 ± 1.80@@68.74,66.54 ± 0.46 / 53.41 ± 1.65@@66.54,23.69 ± 1.29 / 58.77 ± 0.83@@23.69,14.04 ± 0.93 / 53.53 ± 0.88@@14.04,59.60 ± 1.07 / 33.97 ± 0.99@@59.60,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/ltg/norbert3-xs'>ltg/norbert3-xs</a>,🔍,2.34@@2.34,14972162.0,50000.0,512.0,✓,✗,(✓),✗,42.29 ± 2.21 / 55.29 ± 3.13@@42.29,72.35 ± 1.43 / 74.04 ± 1.32@@72.35,70.37 ± 1.65 / 73.27 ± 1.19@@70.37,48.87 ± 10.00 / 72.73 ± 8.12@@48.87,41.44 ± 7.47 / 70.20 ± 3.86@@41.44,32.88 ± 3.52 / 21.61 ± 2.26@@32.88,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.9.0.dev0@@150900
<a href='https://hf.co/norallm/normistral-11b-long'>norallm/normistral-11b-long</a>,🧠,2.35@@2.35,11429893120.0,51200.0,32768.0,✓,✗,(✓),✗,43.25 ± 2.40 / 53.77 ± 3.47@@43.25,57.53 ± 1.18 / 50.28 ± 3.51@@57.53,58.03 ± 1.96 / 51.44 ± 3.16@@58.03,26.26 ± 1.99 / 60.76 ± 1.91@@26.26,21.82 ± 2.96 / 58.95 ± 2.13@@21.82,72.16 ± 4.41 / 50.21 ± 5.98@@72.16,16.10.0.dev0@@161000,16.10.0.dev0@@161000,16.10.0.dev0@@161000,16.10.0.dev0@@161000,16.10.0.dev0@@161000,16.10.0.dev0@@161000
<a href='https://hf.co/bineric/lynx-instruct-30b'>bineric/lynx-instruct-30b#no-thinking</a>,📝,2.35@@2.35,30532122624.0,151936.0,262144.0,✓,✗,(✓),✗,47.74 ± 0.53 / 63.57 ± 0.46@@47.74,68.84 ± 0.86 / 52.55 ± 1.89@@68.84,66.01 ± 0.47 / 53.39 ± 1.63@@66.01,24.75 ± 1.32 / 61.78 ± 0.78@@24.75,18.59 ± 1.05 / 58.18 ± 0.69@@18.59,57.50 ± 1.07 / 31.78 ± 0.96@@57.50,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/swiss-ai/Apertus-70B-2509'>swiss-ai/Apertus-70B-2509</a>,🧠,2.36@@2.36,70599864480.0,131072.0,65536.0,✓,✗,(✓),✗,36.77 ± 1.49 / 46.14 ± 2.40@@36.77,56.95 ± 2.17 / 50.86 ± 2.12@@56.95,57.40 ± 1.45 / 51.55 ± 2.48@@57.40,34.36 ± 5.81 / 54.92 ± 5.45@@34.36,26.05 ± 6.91 / 48.84 ± 5.74@@26.05,71.51 ± 4.78 / 46.64 ± 5.81@@71.51,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-8b-001'>gemini/gemini-1.5-flash-8b-001 (zero-shot, val)</a>",📝,2.37@@2.37,8000000000.0,256128.0,1048576.0,✓,✗,✗,✓,39.85 ± 2.26 / 48.65 ± 1.80@@39.85,56.46 ± 1.82 / 41.82 ± 1.99@@56.46,54.55 ± 3.41 / 39.51 ± 2.68@@54.55,45.79 ± 2.05 / 69.63 ± 1.33@@45.79,27.29 ± 3.09 / 60.84 ± 1.67@@27.29,63.02 ± 0.82 / 31.38 ± 1.25@@63.02,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500,15.5.0.dev0@@150500
<a href='https://hf.co/ai21labs/Jamba-v0.1'>ai21labs/Jamba-v0.1</a>,🧠,2.38@@2.38,51570323328.0,65536.0,262144.0,✓,✗,(✓),✗,45.93 ± 1.91 / 58.53 ± 2.31@@45.93,53.66 ± 1.80 / 35.31 ± 1.37@@53.66,49.78 ± 1.70 / 34.75 ± 2.07@@49.78,31.14 ± 4.21 / 62.77 ± 3.57@@31.14,15.57 ± 2.81 / 47.63 ± 4.48@@15.57,69.83 ± 4.58 / 45.63 ± 5.43@@69.83,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://hf.co/ibm-granite/granite-4.0-micro'>ibm-granite/granite-4.0-micro</a>,📝,2.38@@2.38,3402836480.0,100352.0,131072.0,✓,✗,(✓),✗,50.36 ± 0.92 / 64.86 ± 1.02@@50.36,62.38 ± 1.65 / 53.01 ± 3.40@@62.38,59.00 ± 1.41 / 50.84 ± 3.24@@59.00,30.12 ± 2.04 / 60.68 ± 2.11@@30.12,22.17 ± 1.84 / 57.12 ± 2.52@@22.17,51.46 ± 4.64 / 27.75 ± 3.70@@51.46,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct'>allenai/Olmo-3.1-32B-Instruct</a>,📝,2.38@@2.38,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,52.50 ± 1.14 / 67.93 ± 0.85@@52.50,70.33 ± 1.71 / 57.03 ± 1.51@@70.33,67.29 ± 0.95 / 56.80 ± 1.81@@67.29,32.66 ± 1.23 / 65.65 ± 1.15@@32.66,17.42 ± 1.19 / 55.19 ± 1.61@@17.42,43.09 ± 4.68 / 18.10 ± 4.33@@43.09,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/utter-project/EuroLLM-22B-2512'>utter-project/EuroLLM-22B-2512</a>,🧠,2.38@@2.38,22637328384.0,128000.0,32768.0,✓,✗,(✓),✓,24.95 ± 3.83 / 35.01 ± 3.89@@24.95,59.77 ± 1.78 / 43.23 ± 2.74@@59.77,61.26 ± 1.12 / 44.99 ± 3.21@@61.26,44.58 ± 6.60 / 67.31 ± 6.06@@44.58,27.36 ± 6.30 / 55.62 ± 6.76@@27.36,73.56 ± 4.78 / 49.83 ± 6.63@@73.56,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/Qwen/Qwen3.5-4B'>Qwen/Qwen3.5-4B (val)</a>,🤔,2.38@@2.38,4659861248.0,248044.0,8192.0,✓,✗,(✓),✓,52.71 ± 1.28 / 65.34 ± 1.17@@52.71,57.41 ± 2.03 / 53.33 ± 1.87@@57.41,62.37 ± 1.93 / 56.64 ± 2.20@@62.37,43.07 ± 2.44 / 68.69 ± 1.64@@43.07,23.34 ± 2.06 / 56.17 ± 0.91@@23.34,44.18 ± 0.90 / 31.74 ± 0.37@@44.18,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/meta-llama/Llama-4-Scout-17B-16E'>meta-llama/Llama-4-Scout-17B-16E</a>,📝,2.38@@2.38,108641793536.0,200000.0,?,✓,✗,(✓),✓,56.55 ± 1.41 / 71.11 ± 0.84@@56.55,73.19 ± 0.98 / 68.62 ± 1.73@@73.19,72.97 ± 1.66 / 68.74 ± 1.96@@72.97,34.67 ± 8.08 / 61.71 ± 8.07@@34.67,19.77 ± 5.06 / 49.00 ± 6.86@@19.77,27.49 ± 2.25 / 0.27 ± 0.25@@27.49,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://hf.co/152334H/miqu-1-70b-sf'>152334H/miqu-1-70b-sf</a>,📝,2.38@@2.38,68976648192.0,32000.0,32764.0,✓,✗,(✓),✗,39.57 ± 0.61 / 39.96 ± 0.40@@39.57,54.24 ± 2.37 / 35.31 ± 2.37@@54.24,58.99 ± 1.21 / 39.36 ± 2.17@@58.99,42.73 ± 2.11 / 69.41 ± 1.90@@42.73,25.12 ± 1.21 / 61.29 ± 1.18@@25.12,64.52 ± 1.41 / 31.25 ± 2.48@@64.52,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
"<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (zero-shot, val)</a>",📝,2.39@@2.39,?,?,1047576.0,✓,✗,✗,✓,43.00 ± 3.67 / 60.33 ± 2.41@@43.00,47.75 ± 2.91 / 44.16 ± 3.72@@47.75,52.93 ± 2.43 / 48.95 ± 2.36@@52.93,52.16 ± 1.58 / 75.84 ± 0.87@@52.16,31.32 ± 2.40 / 65.57 ± 1.19@@31.32,57.26 ± 0.70 / 24.80 ± 1.09@@57.26,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#none (zero-shot, val)</a>",🤔,2.40@@2.40,?,?,400000.0,✓,✗,✗,✓,52.37 ± 1.18 / 65.10 ± 0.85@@52.37,47.55 ± 1.19 / 23.04 ± 0.94@@47.55,52.40 ± 1.20 / 25.25 ± 0.91@@52.40,29.84 ± 1.54 / 64.38 ± 0.74@@29.84,16.36 ± 1.64 / 57.73 ± 0.83@@16.36,65.88 ± 0.38 / 39.64 ± 0.42@@65.88,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000,17.0.0.dev0@@170000
<a href='https://hf.co/utter-project/EuroLLM-9B'>utter-project/EuroLLM-9B</a>,🧠,2.41@@2.41,9152319488.0,128000.0,4096.0,✓,✗,(✓),✓,53.15 ± 1.21 / 68.75 ± 1.02@@53.15,53.28 ± 2.13 / 41.43 ± 3.22@@53.28,50.73 ± 1.79 / 41.00 ± 2.46@@50.73,8.49 ± 2.07 / 35.26 ± 1.14@@8.49,10.83 ± 1.88 / 38.20 ± 1.57@@10.83,73.16 ± 4.11 / 50.06 ± 5.81@@73.16,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000
<a href='https://hf.co/meta-llama/Llama-2-70b-hf'>meta-llama/Llama-2-70b-hf</a>,🧠,2.41@@2.41,68976653312.0,32000.0,4096.0,✓,✗,(✓),✓,36.78 ± 0.79 / 38.71 ± 0.81@@36.78,62.31 ± 0.78 / 56.23 ± 1.96@@62.31,64.69 ± 1.11 / 57.01 ± 2.83@@64.69,28.51 ± 8.78 / 50.52 ± 7.79@@28.51,3.65 ± 1.72 / 35.41 ± 1.42@@3.65,74.86 ± 5.09 / 51.58 ± 6.92@@74.86,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://hf.co/THUDM/GLM-4.1V-9B-Thinking'>THUDM/GLM-4.1V-9B-Thinking</a>,🤔,2.41@@2.41,10292777472.0,151552.0,65536.0,✓,✗,(✓),✗,54.65 ± 2.09 / 69.09 ± 1.69@@54.65,66.26 ± 1.44 / 46.34 ± 2.03@@66.26,64.27 ± 1.42 / 42.48 ± 2.04@@64.27,54.78 ± 1.68 / 76.36 ± 0.99@@54.78,39.10 ± 0.80 / 66.46 ± 1.01@@39.10,17.30 ± 0.55 / 0.00 ± 0.00@@17.30,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300
<a href='https://hf.co/norallm/normistral-11b-thinking'>norallm/normistral-11b-thinking</a>,🤔,2.41@@2.41,11429893120.0,51200.0,1024000.0,✓,✗,(✓),✗,44.79 ± 1.93 / 61.11 ± 1.43@@44.79,67.13 ± 1.59 / 63.64 ± 1.67@@67.13,69.06 ± 1.15 / 65.10 ± 1.31@@69.06,10.68 ± 4.65 / 50.35 ± 3.96@@10.68,16.59 ± 4.54 / 55.30 ± 3.79@@16.59,61.64 ± 7.07 / 40.49 ± 5.09@@61.64,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/mistralai/Voxtral-Mini-3B-2507'>mistralai/Voxtral-Mini-3B-2507</a>,📝,2.43@@2.43,4676271104.0,131072.0,?,✓,✗,(✓),✓,46.42 ± 1.38 / 63.13 ± 1.33@@46.42,62.39 ± 2.22 / 47.91 ± 3.63@@62.39,59.27 ± 2.52 / 45.72 ± 2.55@@59.27,13.33 ± 2.60 / 39.71 ± 2.04@@13.33,7.31 ± 2.45 / 39.91 ± 3.29@@7.31,69.94 ± 3.56 / 45.26 ± 4.56@@69.94,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/allenai/OLMo-2-1124-13B-Instruct'>allenai/OLMo-2-1124-13B-Instruct</a>,📝,2.43@@2.43,13716198400.0,100352.0,4096.0,✓,✗,(✓),✓,44.31 ± 1.26 / 62.60 ± 0.91@@44.31,59.22 ± 1.36 / 39.71 ± 1.91@@59.22,57.52 ± 1.04 / 40.92 ± 2.51@@57.52,25.55 ± 1.89 / 60.45 ± 1.01@@25.55,14.47 ± 1.50 / 56.57 ± 0.79@@14.47,66.65 ± 1.75 / 41.83 ± 2.07@@66.65,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300
<a href='https://hf.co/ibm-granite/granite-4.0-h-micro'>ibm-granite/granite-4.0-h-micro</a>,📝,2.43@@2.43,3191396096.0,100352.0,131072.0,✓,✗,(✓),✗,48.32 ± 1.65 / 64.63 ± 1.19@@48.32,57.53 ± 1.87 / 48.75 ± 3.38@@57.53,56.31 ± 1.06 / 49.32 ± 2.42@@56.31,19.72 ± 1.89 / 53.15 ± 2.84@@19.72,12.32 ± 2.88 / 48.40 ± 4.27@@12.32,65.16 ± 2.13 / 39.32 ± 2.44@@65.16,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/KennethEnevoldsen/dfm-sentence-encoder-medium'>KennethEnevoldsen/dfm-sentence-encoder-medium</a>,🔍,2.43@@2.43,124447490.0,50005.0,514.0,✓,✗,(✓),✗,43.70 ± 3.37 / 57.46 ± 4.54@@43.70,83.98 ± 0.88 / 85.30 ± 0.63@@83.98,77.60 ± 1.37 / 79.56 ± 1.21@@77.60,34.72 ± 9.66 / 66.15 ± 4.90@@34.72,3.72 ± 3.38 / 48.46 ± 3.05@@3.72,39.89 ± 3.31 / 26.92 ± 2.49@@39.89,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B</a>,📝,2.45@@2.45,8030261248.0,128256.0,131072.0,✓,✗,(✓),✗,54.29 ± 1.82 / 68.74 ± 1.31@@54.29,64.32 ± 1.57 / 42.66 ± 1.58@@64.32,64.78 ± 1.48 / 47.41 ± 3.49@@64.78,37.08 ± 1.41 / 61.59 ± 1.47@@37.08,26.26 ± 2.72 / 52.79 ± 2.86@@26.26,28.54 ± 9.38 / 6.36 ± 3.93@@28.54,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/allenai/Olmo-3-7B-Think'>allenai/Olmo-3-7B-Think (val)</a>,🤔,2.45@@2.45,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,49.16 ± 1.89 / 65.08 ± 1.13@@49.16,71.77 ± 1.32 / 64.24 ± 1.62@@71.77,66.85 ± 1.48 / 60.86 ± 0.98@@66.85,20.71 ± 2.55 / 54.60 ± 1.02@@20.71,9.27 ± 2.57 / 39.09 ± 1.21@@9.27,50.32 ± 1.10 / 28.70 ± 0.73@@50.32,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-SFT'>allenai/Olmo-3.1-32B-Instruct-SFT</a>,📝,2.46@@2.46,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,55.27 ± 1.30 / 69.74 ± 1.01@@55.27,73.72 ± 1.60 / 59.86 ± 2.18@@73.72,69.11 ± 1.12 / 59.21 ± 2.43@@69.11,35.96 ± 1.65 / 67.61 ± 0.98@@35.96,17.68 ± 2.24 / 54.74 ± 2.63@@17.68,25.65 ± 1.75 / 0.24 ± 0.13@@25.65,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/google/gemma-7b'>google/gemma-7b</a>,🧠,2.47@@2.47,8537680896.0,256000.0,8192.0,✓,✗,(✓),✓,50.76 ± 2.58 / 67.68 ± 2.11@@50.76,43.53 ± 2.12 / 38.24 ± 3.00@@43.53,44.35 ± 2.71 / 36.50 ± 2.51@@44.35,22.86 ± 2.98 / 47.28 ± 3.83@@22.86,17.00 ± 3.30 / 48.71 ± 3.53@@17.00,72.02 ± 4.23 / 49.10 ± 5.80@@72.02,15.5.0@@150500,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601
<a href='https://hf.co/baidu/ERNIE-4.5-21B-A3B-PT'>baidu/ERNIE-4.5-21B-A3B-PT</a>,📝,2.49@@2.49,21948655808.0,103424.0,131072.0,✓,✗,(✓),✗,34.11 ± 7.34 / 49.50 ± 8.07@@34.11,57.89 ± 1.50 / 36.31 ± 2.38@@57.89,55.58 ± 1.74 / 37.68 ± 3.05@@55.58,26.36 ± 2.30 / 61.48 ± 1.65@@26.36,23.21 ± 2.43 / 58.12 ± 2.97@@23.21,67.85 ± 3.24 / 42.81 ± 3.66@@67.85,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/allenai/OLMo-2-0325-32B-Instruct'>allenai/OLMo-2-0325-32B-Instruct</a>,📝,2.50@@2.50,32234279936.0,100352.0,4096.0,✗,✗,(✓),✓,59.70 ± 1.42 / 73.29 ± 0.93@@59.70,62.83 ± 1.31 / 38.16 ± 1.25@@62.83,63.72 ± 0.96 / 39.68 ± 0.92@@63.72,41.13 ± 1.91 / 69.55 ± 1.34@@41.13,22.84 ± 1.48 / 54.91 ± 2.37@@22.84,20.20 ± 1.69 / 0.00 ± 0.00@@20.20,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://hf.co/01-ai/Yi-1.5-9B'>01-ai/Yi-1.5-9B</a>,🧠,2.50@@2.50,8829407232.0,64000.0,4096.0,✓,✗,(✓),✗,43.74 ± 1.53 / 55.32 ± 2.14@@43.74,55.67 ± 1.91 / 41.09 ± 2.54@@55.67,58.13 ± 1.75 / 44.14 ± 2.30@@58.13,15.26 ± 7.69 / 44.46 ± 7.25@@15.26,8.39 ± 4.34 / 39.81 ± 5.44@@8.39,68.41 ± 5.57 / 44.88 ± 7.01@@68.41,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802
<a href='https://hf.co/allenai/Olmo-3-7B-Think'>allenai/Olmo-3-7B-Think</a>,🤔,2.50@@2.50,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,47.18 ± 1.59 / 63.43 ± 1.21@@47.18,75.14 ± 1.57 / 66.58 ± 3.32@@75.14,69.03 ± 1.14 / 62.62 ± 1.45@@69.03,19.42 ± 2.71 / 53.85 ± 3.19@@19.42,6.65 ± 2.01 / 40.34 ± 0.98@@6.65,45.26 ± 3.66 / 24.75 ± 2.42@@45.26,16.14.0.dev0@@161400,16.14.0.dev0@@161400,16.14.0.dev0@@161400,16.14.0.dev0@@161400,16.14.0.dev0@@161400,16.14.0.dev0@@161400
<a href='https://hf.co/ibm-granite/granite-34b-code-base'>ibm-granite/granite-34b-code-base</a>,🧠,2.51@@2.51,33715603456.0,49152.0,8192.0,✓,✗,(✓),✗,32.66 ± 1.31 / 46.34 ± 1.84@@32.66,69.24 ± 1.34 / 65.34 ± 1.50@@69.24,65.10 ± 1.39 / 62.30 ± 1.24@@65.10,15.13 ± 1.69 / 54.44 ± 1.89@@15.13,11.66 ± 1.50 / 50.77 ± 3.51@@11.66,69.23 ± 3.85 / 44.60 ± 5.01@@69.23,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-DPO'>allenai/Olmo-3.1-32B-Instruct-DPO</a>,📝,2.52@@2.52,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,54.68 ± 1.42 / 69.44 ± 1.04@@54.68,69.98 ± 1.34 / 56.17 ± 1.60@@69.98,66.56 ± 1.00 / 56.06 ± 1.78@@66.56,36.44 ± 1.72 / 67.56 ± 1.55@@36.44,17.23 ± 1.71 / 53.77 ± 1.89@@17.23,24.46 ± 1.92 / 1.35 ± 0.86@@24.46,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-32B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-32B</a>,🤔,2.52@@2.52,32763876352.0,152064.0,131072.0,✓,✗,(✓),✓,36.51 ± 2.61 / 55.41 ± 2.53@@36.51,66.98 ± 1.33 / 48.62 ± 1.77@@66.98,65.30 ± 1.13 / 49.24 ± 1.77@@65.30,36.68 ± 1.93 / 65.54 ± 1.40@@36.68,22.34 ± 1.57 / 55.68 ± 1.69@@22.34,46.48 ± 2.22 / 21.06 ± 1.28@@46.48,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://hf.co/Qwen/Qwen3.5-2B'>Qwen/Qwen3.5-2B (val)</a>,📝,2.52@@2.52,2274067232.0,248044.0,8192.0,✓,✗,(✓),✓,45.86 ± 5.00 / 59.05 ± 4.09@@45.86,40.64 ± 4.15 / 31.13 ± 1.95@@40.64,51.28 ± 2.90 / 37.86 ± 2.72@@51.28,26.63 ± 3.64 / 55.49 ± 3.84@@26.63,16.78 ± 5.41 / 55.29 ± 3.78@@16.78,65.94 ± 1.54 / 35.90 ± 2.38@@65.94,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
<a href='https://hf.co/google/gemma-3-4b-it'>google/gemma-3-4b-it</a>,📝,2.52@@2.52,4300079472.0,262144.0,8192.0,✓,✗,(✓),✓,52.11 ± 1.33 / 67.42 ± 1.00@@52.11,57.71 ± 2.54 / 46.07 ± 3.42@@57.71,58.12 ± 1.42 / 46.11 ± 2.90@@58.12,42.21 ± 1.67 / 70.72 ± 0.96@@42.21,31.68 ± 2.01 / 65.37 ± 1.06@@31.68,28.13 ± 5.64 / 5.28 ± 3.28@@28.13,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/allenai/Olmo-3-1025-7B'>allenai/Olmo-3-1025-7B</a>,🧠,2.52@@2.52,7298011136.0,100278.0,65536.0,✓,✗,(✓),✓,45.36 ± 2.41 / 62.11 ± 2.05@@45.36,56.89 ± 2.01 / 31.17 ± 2.40@@56.89,57.38 ± 1.31 / 35.36 ± 2.70@@57.38,9.63 ± 2.44 / 42.18 ± 4.32@@9.63,5.58 ± 2.73 / 42.18 ± 5.62@@5.58,70.17 ± 2.26 / 47.10 ± 3.47@@70.17,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/speakleash/Bielik-11B-v2.6-Instruct'>speakleash/Bielik-11B-v2.6-Instruct</a>,📝,2.53@@2.53,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,55.49 ± 1.23 / 69.38 ± 1.13@@55.49,67.62 ± 1.45 / 47.64 ± 3.51@@67.62,64.71 ± 1.74 / 49.16 ± 2.01@@64.71,30.56 ± 1.59 / 63.89 ± 1.18@@30.56,19.98 ± 1.70 / 56.28 ± 2.07@@19.98,26.09 ± 1.90 / 0.02 ± 0.02@@26.09,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000,16.10.0@@161000
