<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,<a id=9 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=10 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=11 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=12 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=13 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,~~~<a id=14 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>~~~,,<a id=16 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,,
<a href='https://hf.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct</a>,📝,3.78@@3.78,13.73,1235814400.0,128256.0,131072.0,✓,✗,6.38 ± 5.19 / 30.49 ± 3.71@@6.38,29.23 ± 1.94 / 21.51 ± 2.16@@29.23,0.11 ± 2.12 / 39.09 ± 3.29@@0.11,8.63 ± 1.04 / 0.00 ± 0.00@@8.63,58.71 ± 0.72 / 8.54 ± 0.66@@58.71,-0.49 ± 1.94 / 23.54 ± 1.85@@-0.49,0.93 ± 3.56 / 35.35 ± 1.88@@0.93,0.21 ± 0.92 / 25.31 ± 0.73@@0.21,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Base'>LiquidAI/LFM2.5-1.2B-Base</a>,📝,3.80@@3.80,14.14,1170340608.0,65536.0,128000.0,✗,✗,15.85 ± 4.67 / 27.74 ± 4.79@@15.85,14.88 ± 3.05 / 12.90 ± 2.34@@14.88,-0.09 ± 1.75 / 36.95 ± 2.55@@-0.09,8.05 ± 0.71 / 0.00 ± 0.00@@8.05,60.12 ± 0.68 / 11.18 ± 0.39@@60.12,-0.08 ± 0.94 / 23.18 ± 1.52@@-0.08,0.46 ± 4.77 / 34.06 ± 2.92@@0.46,-0.41 ± 0.78 / 25.21 ± 0.76@@-0.41,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/LiquidAI/LFM2-1.2B'>LiquidAI/LFM2-1.2B</a>,📝,3.80@@3.80,0.01,1170340608.0,65536.0,128000.0,✗,✗,16.85 ± 2.93 / 39.96 ± 3.43@@16.85,23.60 ± 1.44 / 19.87 ± 1.11@@23.60,1.84 ± 1.62 / 41.45 ± 3.53@@1.84,9.99 ± 0.51 / 0.08 ± 0.07@@9.99,55.79 ± 0.34 / 8.59 ± 0.33@@55.79,1.93 ± 1.69 / 25.40 ± 1.98@@1.93,6.53 ± 2.52 / 37.98 ± 1.70@@6.53,-0.30 ± 0.87 / 25.05 ± 0.75@@-0.30,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/baidu/ERNIE-4.5-0.3B-PT'>baidu/ERNIE-4.5-0.3B-PT</a>,📝,3.81@@3.81,4.48,?,103424.0,131072.0,✓,✗,3.29 ± 1.80 / 30.46 ± 3.15@@3.29,17.64 ± 1.39 / 15.73 ± 1.27@@17.64,0.25 ± 2.75 / 47.78 ± 2.91@@0.25,18.70 ± 2.82 / 9.65 ± 2.70@@18.70,60.92 ± 0.52 / 11.84 ± 0.56@@60.92,0.67 ± 2.13 / 25.30 ± 1.61@@0.67,9.33 ± 2.78 / 39.33 ± 1.79@@9.33,-0.51 ± 0.92 / 24.62 ± 0.55@@-0.51,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-356m'>AI-Sweden-Models/gpt-sw3-356m</a>,🧠,3.82@@3.82,N/A,470607872.0,64000.0,2048.0,✓,✗,0.00 ± 0.00 / 17.78 ± 0.21@@0.00,13.96 ± 3.97 / 12.39 ± 3.59@@13.96,0.01 ± 0.01 / 33.37 ± 0.27@@0.01,35.67 ± 1.84 / 24.19 ± 1.67@@35.67,59.29 ± 1.58 / 12.51 ± 1.12@@59.29,0.30 ± 1.33 / 22.85 ± 1.35@@0.30,3.03 ± 3.04 / 34.84 ± 2.30@@3.03,0.24 ± 0.58 / 25.57 ± 0.69@@0.24,16.5.0.dev0@@160500,15.4.1@@150401,16.5.0.dev0@@160500,16.3.0.dev0@@160300,15.4.1@@150401,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-126m-instruct'>AI-Sweden-Models/gpt-sw3-126m-instruct</a>,📝,3.87@@3.87,14.14,186112512.0,64000.0,2048.0,✓,✗,17.37 ± 3.32 / 28.32 ± 3.57@@17.37,11.95 ± 1.20 / 12.13 ± 0.99@@11.95,-0.32 ± 0.64 / 33.16 ± 0.28@@-0.32,10.25 ± 1.11 / 1.16 ± 0.39@@10.25,55.16 ± 1.81 / 8.00 ± 0.81@@55.16,-0.12 ± 0.90 / 24.67 ± 2.15@@-0.12,4.23 ± 3.62 / 36.76 ± 2.25@@4.23,0.00 ± 0.00 / 25.54 ± 0.64@@0.00,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,16.3.0.dev0@@160300,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://hf.co/google/gemma-3-270m'>google/gemma-3-270m</a>,🧠,3.87@@3.87,N/A,268098176.0,262144.0,32768.0,✓,✗,16.21 ± 3.14 / 36.61 ± 3.04@@16.21,14.52 ± 0.99 / 13.47 ± 1.19@@14.52,-1.88 ± 1.63 / 38.78 ± 3.77@@-1.88,12.05 ± 1.95 / 4.97 ± 1.08@@12.05,55.03 ± 1.43 / 9.86 ± 0.79@@55.03,-1.69 ± 1.49 / 24.64 ± 1.99@@-1.69,6.96 ± 1.93 / 38.36 ± 1.89@@6.96,0.89 ± 0.95 / 26.05 ± 0.57@@0.89,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/PleIAs/Pleias-350m-Preview'>PleIAs/Pleias-350m-Preview</a>,🧠,3.91@@3.91,N/A,353424384.0,65536.0,2048.0,✓,✗,10.52 ± 2.85 / 26.34 ± 3.55@@10.52,13.30 ± 1.90 / 13.12 ± 1.35@@13.30,-1.22 ± 2.21 / 41.81 ± 3.15@@-1.22,11.67 ± 0.93 / 5.04 ± 0.76@@11.67,56.21 ± 1.43 / 9.00 ± 0.76@@56.21,0.41 ± 2.41 / 26.76 ± 1.46@@0.41,4.20 ± 2.62 / 36.59 ± 1.49@@4.20,-0.23 ± 0.77 / 24.77 ± 0.56@@-0.23,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-356m-instruct'>AI-Sweden-Models/gpt-sw3-356m-instruct</a>,📝,3.92@@3.92,13.79,470607872.0,64000.0,2048.0,✓,✗,3.64 ± 1.41 / 14.91 ± 0.67@@3.64,10.97 ± 1.01 / 11.07 ± 0.90@@10.97,-0.01 ± 1.43 / 43.69 ± 3.97@@-0.01,17.17 ± 0.91 / 2.75 ± 0.94@@17.17,57.00 ± 1.09 / 8.92 ± 0.51@@57.00,-0.54 ± 1.20 / 24.62 ± 1.19@@-0.54,6.30 ± 3.45 / 33.92 ± 2.32@@6.30,0.67 ± 1.07 / 24.87 ± 0.72@@0.67,15.4.1@@150401,15.4.1@@150401,15.4.2@@150402,16.3.0.dev0@@160300,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M'>HuggingFaceTB/SmolLM2-360M</a>,🧠,3.94@@3.94,N/A,361821120.0,49152.0,8192.0,✓,✗,4.99 ± 2.47 / 19.14 ± 4.13@@4.99,12.91 ± 0.98 / 11.69 ± 0.84@@12.91,0.11 ± 1.42 / 36.14 ± 3.61@@0.11,17.69 ± 0.90 / 11.71 ± 0.67@@17.69,56.69 ± 1.10 / 10.12 ± 0.72@@56.69,-0.84 ± 1.54 / 22.40 ± 1.30@@-0.84,0.95 ± 2.80 / 35.41 ± 1.44@@0.95,0.36 ± 0.95 / 25.58 ± 0.64@@0.36,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/LiquidAI/LFM2-350M'>LiquidAI/LFM2-350M</a>,📝,3.96@@3.96,2.76,354483968.0,65536.0,128000.0,✗,✗,17.21 ± 2.59 / 42.20 ± 2.83@@17.21,11.25 ± 2.35 / 9.67 ± 2.15@@11.25,-0.32 ± 1.58 / 37.90 ± 3.17@@-0.32,4.48 ± 0.34 / 0.33 ± 0.16@@4.48,51.96 ± 0.96 / 7.91 ± 0.55@@51.96,1.62 ± 2.01 / 25.85 ± 1.14@@1.62,5.19 ± 2.34 / 32.34 ± 1.48@@5.19,0.04 ± 0.73 / 24.91 ± 0.45@@0.04,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M'>HuggingFaceTB/SmolLM2-135M</a>,🧠,3.98@@3.98,N/A,134515008.0,49152.0,8192.0,✓,✗,3.55 ± 2.55 / 21.21 ± 3.45@@3.55,12.90 ± 1.39 / 12.93 ± 1.15@@12.90,-0.15 ± 1.89 / 37.34 ± 3.72@@-0.15,2.98 ± 0.74 / 1.38 ± 0.66@@2.98,58.13 ± 1.23 / 10.23 ± 0.85@@58.13,0.73 ± 1.73 / 26.37 ± 0.93@@0.73,3.99 ± 2.51 / 37.35 ± 1.50@@3.99,-0.60 ± 1.07 / 24.17 ± 0.65@@-0.60,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M-Instruct'>HuggingFaceTB/SmolLM2-135M-Instruct</a>,📝,3.98@@3.98,2.4,134515008.0,49152.0,8192.0,✓,✗,8.14 ± 2.89 / 29.04 ± 4.13@@8.14,10.53 ± 0.82 / 10.64 ± 0.75@@10.53,0.43 ± 1.64 / 38.33 ± 4.19@@0.43,2.50 ± 0.28 / 0.00 ± 0.00@@2.50,55.98 ± 0.49 / 9.50 ± 0.59@@55.98,1.29 ± 2.07 / 25.95 ± 1.47@@1.29,7.21 ± 3.07 / 37.07 ± 2.11@@7.21,0.92 ± 1.19 / 25.19 ± 0.73@@0.92,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/google/gemma-3-270m-it'>google/gemma-3-270m-it</a>,📝,4.02@@4.02,13.16,268098176.0,262144.0,32768.0,✓,✗,6.31 ± 5.17 / 20.04 ± 4.66@@6.31,4.58 ± 3.11 / 4.04 ± 2.57@@4.58,-0.25 ± 2.00 / 34.93 ± 1.96@@-0.25,7.59 ± 0.61 / 0.00 ± 0.00@@7.59,55.63 ± 1.15 / 8.41 ± 0.49@@55.63,-0.25 ± 1.99 / 23.89 ± 2.04@@-0.25,3.44 ± 3.15 / 35.81 ± 2.31@@3.44,1.12 ± 1.43 / 25.95 ± 0.94@@1.12,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M-Instruct'>HuggingFaceTB/SmolLM2-360M-Instruct</a>,📝,4.06@@4.06,16.63,361821120.0,49152.0,8192.0,✓,✗,0.77 ± 1.14 / 16.74 ± 3.18@@0.77,11.95 ± 2.30 / 10.77 ± 1.79@@11.95,0.00 ± 0.00 / 33.30 ± 0.27@@0.00,7.06 ± 0.64 / 0.00 ± 0.00@@7.06,54.78 ± 0.98 / 9.12 ± 0.37@@54.78,0.21 ± 1.28 / 26.15 ± 0.91@@0.21,3.73 ± 4.35 / 36.76 ± 2.64@@3.73,0.52 ± 0.78 / 25.20 ± 0.48@@0.52,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-126m'>AI-Sweden-Models/gpt-sw3-126m</a>,🧠,4.08@@4.08,N/A,186112512.0,64000.0,2048.0,✓,✗,-0.37 ± 0.48 / 17.78 ± 0.21@@-0.37,4.71 ± 3.15 / 6.78 ± 1.69@@4.71,0.26 ± 0.54 / 33.58 ± 0.32@@0.26,9.81 ± 2.57 / 5.75 ± 1.70@@9.81,55.14 ± 1.21 / 9.98 ± 0.88@@55.14,2.48 ± 2.01 / 25.28 ± 2.09@@2.48,5.31 ± 4.29 / 36.61 ± 2.48@@5.31,1.56 ± 1.02 / 26.22 ± 0.55@@1.56,16.5.0.dev0@@160500,15.4.1@@150401,16.5.0.dev0@@160500,16.3.0.dev0@@160300,15.4.1@@150401,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/PleIAs/Baguettotron'>PleIAs/Baguettotron@refs/pr/6#no-thinking</a>,📝,4.43@@4.43,10.16,320956992.0,65536.0,4096.0,✓,✗,1.74 ± 1.71 / 25.33 ± 2.59@@1.74,3.94 ± 1.25 / 3.70 ± 1.20@@3.94,0.51 ± 1.28 / 40.59 ± 3.82@@0.51,2.55 ± 0.18 / 0.00 ± 0.00@@2.55,40.47 ± 0.74 / 4.14 ± 0.37@@40.47,0.37 ± 1.59 / 26.50 ± 1.23@@0.37,3.90 ± 6.11 / 34.61 ± 3.74@@3.90,-0.37 ± 0.80 / 25.23 ± 0.30@@-0.37,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/PleIAs/Monad'>PleIAs/Monad</a>,🧠,4.47@@4.47,N/A,56656128.0,8192.0,2048.0,✓,✗,6.80 ± 3.93 / 24.23 ± 4.20@@6.80,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,-0.62 ± 0.98 / 33.44 ± 0.36@@-0.62,0.67 ± 0.12 / 0.00 ± 0.00@@0.67,38.13 ± 0.79 / 2.08 ± 0.17@@38.13,0.75 ± 1.06 / 24.02 ± 1.28@@0.75,0.53 ± 2.04 / 31.71 ± 1.77@@0.53,-0.39 ± 1.22 / 25.10 ± 0.72@@-0.39,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/ibm-granite/granite-3.0-1b-a400m-instruct'>ibm-granite/granite-3.0-1b-a400m-instruct</a>,📝,-@@100,?,1334628352.0,49155.0,4096.0,✓,✗,22.35 ± 2.26 / 44.97 ± 2.66@@22.35,30.63 ± 2.60 / 20.55 ± 1.52@@30.63,1.95 ± 1.48 / 46.94 ± 1.55@@1.95,-@@-1,59.66 ± 0.68 / 13.59 ± 0.61@@59.66,-0.74 ± 1.35 / 22.56 ± 0.97@@-0.74,5.23 ± 2.88 / 37.58 ± 1.91@@5.23,-1.22 ± 0.88 / 24.33 ± 0.84@@-1.22,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,-@@0,13.2.0@@130200,14.2.0@@140200,15.2.0.dev0@@150200,13.2.0@@130200
<a href='https://hf.co/ibm-granite/granite-3.0-2b-base'>ibm-granite/granite-3.0-2b-base</a>,🧠,-@@100,N/A,2533525504.0,49152.0,4097.0,✓,✗,29.50 ± 3.63 / 42.61 ± 4.86@@29.50,32.34 ± 3.77 / 24.48 ± 3.17@@32.34,3.89 ± 1.49 / 37.29 ± 3.65@@3.89,-@@-1,64.48 ± 0.83 / 19.25 ± 0.78@@64.48,0.62 ± 1.41 / 24.25 ± 1.08@@0.62,24.18 ± 2.52 / 46.13 ± 2.23@@24.18,10.00 ± 1.73 / 32.31 ± 0.87@@10.00,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,-@@0,13.0.0@@130000,14.2.0@@140200,15.2.0.dev0@@150200,13.0.0@@130000
<a href='https://hf.co/ibm-granite/granite-3.0-2b-instruct'>ibm-granite/granite-3.0-2b-instruct</a>,📝,-@@100,?,2634201088.0,49155.0,4097.0,✓,✗,41.86 ± 1.28 / 61.22 ± 0.99@@41.86,41.79 ± 2.11 / 32.67 ± 2.33@@41.79,11.86 ± 1.80 / 50.92 ± 3.93@@11.86,-@@-1,64.86 ± 0.75 / 19.26 ± 0.79@@64.86,4.58 ± 1.66 / 26.72 ± 1.07@@4.58,27.95 ± 1.07 / 51.81 ± 0.82@@27.95,3.64 ± 0.91 / 27.01 ± 0.69@@3.64,13.0.0@@130000,13.0.0@@130000,13.0.0@@130000,-@@0,13.0.0@@130000,14.2.0@@140200,15.2.0.dev0@@150200,13.0.0@@130000
<a href='https://hf.co/ibm-granite/granite-3.0-3b-a800m-base'>ibm-granite/granite-3.0-3b-a800m-base</a>,🧠,-@@100,N/A,3374286336.0,49152.0,4096.0,✓,✗,8.98 ± 2.19 / 20.52 ± 1.08@@8.98,31.15 ± 1.87 / 22.24 ± 1.57@@31.15,0.08 ± 0.71 / 35.29 ± 3.43@@0.08,-@@-1,63.79 ± 0.68 / 16.98 ± 1.00@@63.79,-0.46 ± 1.52 / 24.81 ± 1.15@@-0.46,12.11 ± 1.97 / 41.96 ± 1.42@@12.11,-0.62 ± 1.29 / 25.32 ± 0.78@@-0.62,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,-@@0,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.1.0@@150100
<a href='https://hf.co/ibm-granite/granite-3.0-3b-a800m-instruct'>ibm-granite/granite-3.0-3b-a800m-instruct</a>,📝,-@@100,?,3374295552.0,49155.0,4096.0,✓,✗,36.24 ± 2.50 / 54.87 ± 2.93@@36.24,37.50 ± 1.86 / 26.98 ± 2.35@@37.50,4.92 ± 1.58 / 46.50 ± 4.17@@4.92,-@@-1,64.22 ± 0.38 / 18.12 ± 0.59@@64.22,-2.38 ± 1.11 / 21.98 ± 0.75@@-2.38,21.49 ± 2.50 / 47.87 ± 1.52@@21.49,2.65 ± 1.34 / 26.58 ± 0.84@@2.65,15.1.0@@150100,15.1.0@@150100,15.1.0@@150100,-@@0,15.1.0@@150100,15.1.0@@150100,15.2.0.dev0@@150200,15.1.0@@150100
<a href='https://hf.co/ibm-granite/granite-3.0-8b-base'>ibm-granite/granite-3.0-8b-base</a>,🧠,-@@100,N/A,8170835968.0,49152.0,4096.0,✓,✗,48.15 ± 1.76 / 65.79 ± 1.20@@48.15,45.96 ± 1.82 / 35.64 ± 2.91@@45.96,20.18 ± 2.20 / 54.99 ± 3.07@@20.18,-@@-1,66.51 ± 0.25 / 21.89 ± 0.38@@66.51,10.44 ± 1.91 / 29.53 ± 1.98@@10.44,47.97 ± 2.11 / 64.69 ± 1.65@@47.97,15.28 ± 0.82 / 36.28 ± 0.64@@15.28,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,-@@0,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://hf.co/ibm-granite/granite-3.0-8b-instruct'>ibm-granite/granite-3.0-8b-instruct</a>,📝,-@@100,?,8170848256.0,49155.0,4096.0,✓,✗,50.78 ± 2.06 / 67.08 ± 1.24@@50.78,48.94 ± 2.44 / 36.51 ± 3.01@@48.94,18.36 ± 2.40 / 52.35 ± 2.95@@18.36,-@@-1,65.95 ± 0.19 / 19.10 ± 0.41@@65.95,6.40 ± 1.70 / 28.61 ± 1.16@@6.40,46.00 ± 2.85 / 63.77 ± 1.95@@46.00,21.34 ± 1.27 / 39.77 ± 1.09@@21.34,15.8.1.dev0@@150801,15.8.2@@150802,15.8.2@@150802,-@@0,15.8.2@@150802,14.2.0@@140200,15.2.0.dev0@@150200,13.0.0@@130000
<a href='https://hf.co/ibm-granite/granite-34b-code-base'>ibm-granite/granite-34b-code-base</a>,🧠,-@@100,N/A,33715603456.0,49152.0,8192.0,✓,✗,39.07 ± 1.99 / 52.62 ± 3.60@@39.07,51.95 ± 2.25 / 42.13 ± 2.28@@51.95,12.94 ± 2.65 / 46.93 ± 5.16@@12.94,-@@-1,65.33 ± 0.59 / 19.85 ± 0.83@@65.33,9.60 ± 1.69 / 31.68 ± 1.20@@9.60,18.23 ± 2.26 / 44.13 ± 1.75@@18.23,9.66 ± 1.32 / 31.73 ± 0.89@@9.66,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,-@@0,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://hf.co/ibm-granite/granite-34b-code-instruct'>ibm-granite/granite-34b-code-instruct</a>,📝,-@@100,?,33715603456.0,49152.0,8192.0,✓,✗,41.45 ± 1.37 / 55.47 ± 1.69@@41.45,51.91 ± 2.36 / 40.03 ± 2.52@@51.91,18.97 ± 2.01 / 58.48 ± 1.72@@18.97,-@@-1,64.34 ± 0.33 / 16.66 ± 0.58@@64.34,11.35 ± 1.29 / 31.96 ± 1.30@@11.35,15.50 ± 2.63 / 44.15 ± 1.61@@15.50,7.18 ± 0.97 / 29.41 ± 0.81@@7.18,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,-@@0,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802
<a href='https://hf.co/ibm-granite/granite-3b-code-base-2k'>ibm-granite/granite-3b-code-base-2k</a>,🧠,-@@100,N/A,3482503680.0,49152.0,2048.0,✓,✗,34.95 ± 1.95 / 51.85 ± 2.45@@34.95,36.44 ± 2.66 / 27.94 ± 2.17@@36.44,7.12 ± 2.51 / 47.73 ± 6.14@@7.12,-@@-1,59.70 ± 3.78 / 15.20 ± 1.40@@59.70,3.13 ± 2.84 / 26.46 ± 2.22@@3.13,15.74 ± 3.66 / 43.10 ± 2.27@@15.74,3.46 ± 1.32 / 27.14 ± 0.75@@3.46,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,-@@0,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200
<a href='https://hf.co/ibm-granite/granite-3.0-1b-a400m-base'>ibm-granite/granite-3.0-1b-a400m-base</a>,🧠,-@@100,N/A,1384956928.0,49152.0,4096.0,✓,✗,17.52 ± 2.86 / 27.96 ± 2.94@@17.52,16.82 ± 3.53 / 14.28 ± 3.01@@16.82,1.53 ± 2.06 / 36.59 ± 3.39@@1.53,-@@-1,60.13 ± 0.88 / 11.98 ± 0.53@@60.13,-0.05 ± 1.56 / 22.74 ± 1.67@@-0.05,1.65 ± 3.42 / 33.77 ± 1.10@@1.65,-0.21 ± 0.87 / 25.02 ± 0.65@@-0.21,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,-@@0,13.2.0@@130200,14.2.0@@140200,15.2.0.dev0@@150200,13.2.0@@130200
<a href='https://hf.co/ibm-granite/granite-20b-code-instruct'>ibm-granite/granite-20b-code-instruct</a>,📝,-@@100,?,20066993152.0,49152.0,8192.0,✓,✗,26.90 ± 1.11 / 42.14 ± 0.89@@26.90,48.74 ± 1.68 / 32.30 ± 2.51@@48.74,9.54 ± 1.65 / 49.99 ± 3.94@@9.54,-@@-1,61.06 ± 0.89 / 12.68 ± 0.77@@61.06,3.76 ± 1.93 / 25.95 ± 1.48@@3.76,7.67 ± 2.02 / 38.84 ± 1.53@@7.67,5.71 ± 1.43 / 28.24 ± 0.91@@5.71,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,-@@0,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
"<a href='https://platform.openai.com/docs/models/gpt-4o'>gpt-4o-2024-05-13 (zero-shot, val)</a>",📝,-@@100,?,?,200019.0,8191.0,✓,✗,53.07 ± 1.45 / 68.64 ± 1.04@@53.07,64.80 ± 1.56 / 45.57 ± 1.47@@64.80,64.18 ± 3.36 / 81.90 ± 1.68@@64.18,-@@-1,64.78 ± 0.17 / 13.85 ± 0.23@@64.78,92.39 ± 1.42 / 94.38 ± 1.04@@92.39,97.09 ± 1.19 / 98.05 ± 0.80@@97.09,75.29 ± 2.17 / 81.41 ± 1.64@@75.29,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,-@@0,14.0.3@@140003,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400
"<a href='https://platform.openai.com/docs/models/gpt-4o-mini'>gpt-4o-mini-2024-07-18 (zero-shot, val)</a>",📝,-@@100,?,?,200019.0,8191.0,✓,✗,49.73 ± 3.09 / 65.95 ± 2.22@@49.73,57.52 ± 2.21 / 35.79 ± 1.78@@57.52,57.56 ± 2.67 / 77.16 ± 1.35@@57.56,-@@-1,64.66 ± 0.20 / 13.62 ± 0.27@@64.66,79.22 ± 3.87 / 84.53 ± 3.18@@79.22,88.72 ± 2.53 / 92.33 ± 1.76@@88.72,63.33 ± 1.94 / 72.15 ± 1.54@@63.33,14.0.1@@140001,14.0.1@@140001,14.0.1@@140001,-@@0,14.0.1@@140001,14.1.2.dev0@@140102,15.2.0.dev0@@150200,14.0.3@@140003
