<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=14 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=15 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=16 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=17 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M'>HuggingFaceTB/SmolLM2-135M</a>,🧠,4.56@@4.56,N/A,134515008.0,49152.0,8192.0,✓,✗,(✓),✓,7.27 ± 3.71 / 26.38 ± 5.10@@7.27,13.14 ± 2.43 / 13.96 ± 2.41@@13.14,0.87 ± 1.06 / 35.41 ± 2.97@@0.87,11.02 ± 2.75 / 1.06 ± 0.65@@11.02,17.57 ± 1.62 / 18.28 ± 1.71@@17.57,1.78 ± 2.32 / 26.19 ± 1.20@@1.78,-3.73 ± 2.97 / 48.56 ± 3.59@@-3.73,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/PleIAs/Pleias-350m-Preview'>PleIAs/Pleias-350m-Preview</a>,🧠,4.56@@4.56,N/A,353424384.0,65536.0,2048.0,✓,✗,(✓),✓,4.13 ± 2.87 / 24.61 ± 1.97@@4.13,16.40 ± 1.47 / 18.58 ± 1.19@@16.40,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,11.96 ± 3.02 / 1.73 ± 0.71@@11.96,18.21 ± 1.21 / 18.84 ± 1.31@@18.21,1.35 ± 1.77 / 24.13 ± 0.85@@1.35,-0.62 ± 4.28 / 55.27 ± 1.83@@-0.62,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M'>HuggingFaceTB/SmolLM2-360M</a>,🧠,4.56@@4.56,N/A,361821120.0,49152.0,8192.0,✓,✗,(✓),✓,4.94 ± 3.79 / 27.94 ± 4.97@@4.94,13.01 ± 1.91 / 13.50 ± 1.70@@13.01,0.37 ± 1.44 / 40.35 ± 4.47@@0.37,15.99 ± 2.56 / 3.53 ± 0.93@@15.99,16.34 ± 1.48 / 17.00 ± 1.53@@16.34,-0.88 ± 1.78 / 25.35 ± 1.21@@-0.88,-0.85 ± 1.79 / 56.35 ± 1.00@@-0.85,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Base'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Base</a>,🧠,4.58@@4.58,N/A,107908288.0,65536.0,262144.0,✓,✗,(✓),✓,2.86 ± 3.42 / 26.16 ± 2.97@@2.86,9.63 ± 1.59 / 11.37 ± 1.41@@9.63,0.98 ± 0.80 / 33.85 ± 1.00@@0.98,10.84 ± 2.16 / 1.13 ± 0.62@@10.84,20.06 ± 1.89 / 21.53 ± 2.09@@20.06,-0.08 ± 1.93 / 26.04 ± 1.14@@-0.08,-0.29 ± 0.57 / 56.43 ± 1.01@@-0.29,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.14.0.dev0@@161400,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/google/gemma-3-270m'>google/gemma-3-270m</a>,🧠,4.58@@4.58,N/A,268098176.0,262144.0,32768.0,✓,✗,(✓),✓,1.67 ± 2.18 / 22.65 ± 2.62@@1.67,15.53 ± 3.72 / 16.16 ± 3.66@@15.53,0.02 ± 0.67 / 33.48 ± 0.34@@0.02,13.18 ± 1.96 / 2.74 ± 0.82@@13.18,16.88 ± 2.24 / 17.75 ± 2.36@@16.88,1.07 ± 2.24 / 25.82 ± 1.68@@1.07,0.22 ± 3.19 / 55.92 ± 1.17@@0.22,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/PleIAs/Baguettotron'>PleIAs/Baguettotron@refs/pr/6#no-thinking</a>,📝,4.71@@4.71,1.02,320956992.0,65536.0,4096.0,✓,✗,(✓),✓,1.99 ± 2.21 / 29.54 ± 2.50@@1.99,0.64 ± 0.52 / 0.77 ± 0.45@@0.64,-0.08 ± 2.03 / 38.04 ± 4.36@@-0.08,14.31 ± 0.63 / 0.00 ± 0.00@@14.31,13.74 ± 0.65 / 15.16 ± 0.73@@13.74,0.02 ± 1.55 / 25.59 ± 0.88@@0.02,4.17 ± 3.02 / 52.35 ± 3.30@@4.17,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.14.0.dev0@@161400,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct</a>,📝,4.73@@4.73,10.31,107908288.0,65536.0,262144.0,✓,✗,(✓),✓,-3.16 ± 2.54 / 20.80 ± 1.89@@-3.16,7.85 ± 1.29 / 7.97 ± 1.36@@7.85,-0.05 ± 1.07 / 43.47 ± 3.69@@-0.05,11.57 ± 2.01 / 1.15 ± 0.95@@11.57,14.80 ± 2.37 / 15.75 ± 2.59@@14.80,-0.63 ± 1.45 / 25.21 ± 1.43@@-0.63,1.19 ± 2.78 / 56.60 ± 1.03@@1.19,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.14.0.dev0@@161400,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/AIDC-AI/Marco-Mini-Global-Base'>AIDC-AI/Marco-Mini-Global-Base (val)</a>,📝,4.98@@4.98,3.29,17406164992.0,151936.0,32768.0,✓,✗,(✓),✓,4.73 ± 2.94 / 20.46 ± 1.03@@4.73,0.80 ± 0.39 / 0.90 ± 0.34@@0.80,0.00 ± 0.00 / 32.76 ± 0.48@@0.00,9.55 ± 1.15 / 0.00 ± 0.00@@9.55,1.88 ± 0.25 / 2.01 ± 0.27@@1.88,0.52 ± 0.52 / 24.22 ± 1.87@@0.52,-2.55 ± 1.93 / 47.11 ± 3.28@@-2.55,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/PleIAs/Monad'>PleIAs/Monad</a>,🧠,5.00@@5.00,N/A,56656128.0,8192.0,2048.0,✓,✗,(✓),✓,1.78 ± 2.01 / 18.40 ± 1.97@@1.78,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,-2.06 ± 1.43 / 40.51 ± 3.84@@-2.06,3.72 ± 0.68 / 0.00 ± 0.00@@3.72,5.36 ± 0.56 / 5.45 ± 0.57@@5.36,0.34 ± 0.87 / 24.85 ± 0.98@@0.34,0.77 ± 1.79 / 49.15 ± 3.90@@0.77,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.14.0.dev0@@161400,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it (zero-shot)</a>,📝,-@@100,12.41,27432406640.0,262144.0,?,✓,✗,(✓),✓,42.86 ± 0.94 / 54.41 ± 0.69@@42.86,35.18 ± 0.69 / 16.87 ± 0.39@@35.18,22.75 ± 1.58 / 57.79 ± 0.91@@22.75,42.68 ± 0.62 / 18.99 ± 0.77@@42.68,-@@-1,26.98 ± 1.21 / 44.62 ± 0.89@@26.98,23.55 ± 2.09 / 63.35 ± 0.83@@23.55,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,15.8.1.dev0@@150801,-@@0,15.8.1.dev0@@150801,15.8.1.dev0@@150801
<a href='https://hf.co/infly/OpenCoder-1.5B-Base'>infly/OpenCoder-1.5B-Base</a>,📝,-@@100,?,1905650960.0,96640.0,4096.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,0.67 ± 0.69 / 25.79 ± 0.91@@0.67,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/infly/OpenCoder-1.5B-Instruct'>infly/OpenCoder-1.5B-Instruct</a>,📝,-@@100,?,1905650880.0,96640.0,4096.0,✗,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,0.45 ± 1.80 / 25.26 ± 1.84@@0.45,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/ibm-granite/granite-8b-code-instruct-4k'>ibm-granite/granite-8b-code-instruct-4k</a>,📝,-@@100,?,8054910976.0,49152.0,4096.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,1.44 ± 0.79 / 25.68 ± 0.87@@1.44,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/jhu-clsp/mmBERT-small'>jhu-clsp/mmBERT-small</a>,🔍,-@@100,N/A,140642306.0,256000.0,8192.0,✓,✗,(✓),✓,32.39 ± 2.52 / 51.75 ± 2.76@@32.39,65.27 ± 2.41 / 65.74 ± 2.43@@65.27,16.70 ± 4.39 / 57.44 ± 2.67@@16.70,26.29 ± 1.24 / 9.17 ± 0.47@@26.29,-@@-1,-@@-1,-@@-1,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,-@@0,-@@0,-@@0
<a href='https://hf.co/infly/OpenCoder-8B-Instruct'>infly/OpenCoder-8B-Instruct</a>,📝,-@@100,?,7771262976.0,96640.0,8192.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-1.57 ± 1.65 / 23.29 ± 0.96@@-1.57,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/infly/OpenCoder-8B-Base'>infly/OpenCoder-8B-Base</a>,📝,-@@100,?,7771263040.0,96640.0,8192.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,2.56 ± 2.28 / 26.85 ± 1.80@@2.56,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/jhu-clsp/mmBERT-base'>jhu-clsp/mmBERT-base</a>,🔍,-@@100,N/A,307531778.0,256000.0,8192.0,✓,✗,(✓),✓,38.53 ± 1.54 / 57.09 ± 1.26@@38.53,67.64 ± 2.79 / 68.06 ± 2.58@@67.64,26.45 ± 7.89 / 61.96 ± 4.29@@26.45,32.12 ± 3.32 / 12.74 ± 2.04@@32.12,-@@-1,-@@-1,-@@-1,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,-@@0,-@@0,-@@0
<a href='https://hf.co/meta-llama/Llama-3.1-8B-Instruct'>meta-llama/Llama-3.1-8B-Instruct</a>,📝,-@@100,2.01,8030261248.0,128256.0,131072.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,37.88 ± 0.27 / 39.90 ± 0.40@@37.88,18.43 ± 1.21 / 38.52 ± 0.89@@18.43,-@@-1,-@@0,-@@0,-@@0,-@@0,16.15.0.dev0@@161500,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/meta-llama/Llama-3.1-70B-Instruct'>meta-llama/Llama-3.1-70B-Instruct</a>,📝,-@@100,?,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,51.06 ± 1.17 / 63.43 ± 1.02@@51.06,69.45 ± 2.23 / 43.16 ± 4.53@@69.45,19.39 ± 1.49 / 56.31 ± 0.98@@19.39,56.29 ± 1.87 / 30.79 ± 1.22@@56.29,-@@-1,34.38 ± 1.34 / 50.39 ± 0.94@@34.38,49.01 ± 2.37 / 74.88 ± 1.23@@49.01,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,-@@0,15.3.1@@150301,15.3.1@@150301
<a href='https://hf.co/meta-llama/Llama-3.1-405B'>meta-llama/Llama-3.1-405B</a>,🧠,-@@100,N/A,405853388800.0,128256.0,131072.0,✓,✗,(✓),✓,48.92 ± 1.36 / 61.76 ± 2.52@@48.92,69.61 ± 2.47 / 66.69 ± 2.57@@69.61,35.02 ± 1.69 / 66.11 ± 1.04@@35.02,62.33 ± 4.46 / 34.77 ± 4.17@@62.33,-@@-1,56.15 ± 1.53 / 67.00 ± 1.14@@56.15,56.42 ± 2.76 / 78.56 ± 1.33@@56.42,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,-@@0,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/meta-llama/Llama-3.1-405B-Instruct-FP8'>meta-llama/Llama-3.1-405B-Instruct-FP8</a>,📝,-@@100,?,405868625920.0,128256.0,131072.0,✓,✗,(✓),✓,52.13 ± 1.18 / 65.90 ± 1.07@@52.13,64.03 ± 4.37 / 63.37 ± 4.52@@64.03,27.77 ± 1.83 / 58.46 ± 2.25@@27.77,54.42 ± 1.58 / 26.46 ± 1.63@@54.42,-@@-1,48.98 ± 1.56 / 61.63 ± 1.15@@48.98,60.54 ± 1.94 / 79.87 ± 1.03@@60.54,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100,-@@0,15.11.0.dev0@@151100,15.11.0.dev0@@151100
<a href='https://hf.co/meta-llama/Llama-2-7b-hf'>meta-llama/Llama-2-7b-hf</a>,📝,-@@100,?,6738417664.0,32000.0,4096.0,✓,✗,(✓),✓,-@@-1,32.71 ± 2.77 / 32.17 ± 2.13@@32.71,0.66 ± 1.75 / 40.36 ± 4.19@@0.66,-@@-1,-@@-1,-0.26 ± 0.95 / 23.98 ± 0.72@@-0.26,-@@-1,-@@0,9.2.0@@90200,9.2.0@@90200,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/meta-llama/Llama-2-7b-chat-hf'>meta-llama/Llama-2-7b-chat-hf</a>,📝,-@@100,?,6738417664.0,32000.0,4096.0,✓,✗,(✓),✓,17.07 ± 4.43 / 36.20 ± 3.76@@17.07,17.10 ± 1.69 / 16.57 ± 1.51@@17.10,0.67 ± 1.54 / 33.88 ± 0.56@@0.67,33.55 ± 1.89 / 11.64 ± 1.27@@33.55,-@@-1,0.68 ± 1.18 / 23.87 ± 1.02@@0.68,-@@-1,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,-@@0,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/meta-llama/Llama-2-70b-hf'>meta-llama/Llama-2-70b-hf</a>,🧠,-@@100,N/A,68976653312.0,32000.0,4096.0,✓,✗,(✓),✓,31.97 ± 4.23 / 50.84 ± 4.50@@31.97,55.66 ± 2.51 / 47.93 ± 3.67@@55.66,0.00 ± 0.00 / 33.16 ± 0.38@@0.00,59.39 ± 1.37 / 31.50 ± 1.49@@59.39,-@@-1,14.50 ± 1.12 / 35.13 ± 0.96@@14.50,6.35 ± 1.90 / 50.45 ± 1.62@@6.35,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,-@@0,15.3.1@@150301,15.3.1@@150301
<a href='https://hf.co/meta-llama/Llama-2-70b-chat-hf'>meta-llama/Llama-2-70b-chat-hf</a>,📝,-@@100,?,68976653312.0,32000.0,4096.0,✓,✗,(✓),✓,13.89 ± 4.08 / 32.24 ± 3.83@@13.89,36.67 ± 2.32 / 21.95 ± 1.96@@36.67,2.23 ± 1.03 / 46.83 ± 1.98@@2.23,46.62 ± 1.42 / 19.02 ± 1.53@@46.62,-@@-1,0.49 ± 1.49 / 25.57 ± 0.87@@0.49,0.22 ± 0.34 / 47.02 ± 3.79@@0.22,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,-@@0,15.3.1@@150301,15.3.1@@150301
<a href='https://hf.co/meta-llama/Llama-2-13b-hf'>meta-llama/Llama-2-13b-hf</a>,🧠,-@@100,N/A,13015866880.0,32000.0,4096.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,4.06 ± 0.93 / 27.57 ± 0.72@@4.06,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/meta-llama/Llama-2-13b-chat-hf'>meta-llama/Llama-2-13b-chat-hf</a>,📝,-@@100,?,13015866880.0,32000.0,4096.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-0.97 ± 0.94 / 22.98 ± 0.71@@-0.97,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/marksverdhei/modern-norbert3-xs'>marksverdhei/modern-norbert3-xs</a>,🔍,-@@100,N/A,15000272.0,50000.0,512.0,✓,✗,(✓),✗,19.14 ± 2.33 / 42.65 ± 2.42@@19.14,5.17 ± 1.70 / 4.88 ± 1.65@@5.17,0.76 ± 1.49 / 49.69 ± 0.70@@0.76,1.37 ± 0.38 / 0.06 ± 0.05@@1.37,-@@-1,-@@-1,-@@-1,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,-@@0,-@@0,-@@0
<a href='https://hf.co/marksverdhei/modern-norbert3-small'>marksverdhei/modern-norbert3-small</a>,🔍,-@@100,N/A,40641104.0,50000.0,512.0,✓,✗,(✓),✗,7.41 ± 2.84 / 27.96 ± 3.45@@7.41,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,-0.60 ± 1.60 / 45.84 ± 2.59@@-0.60,8.00 ± 0.83 / 0.08 ± 0.08@@8.00,-@@-1,-@@-1,-@@-1,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,-@@0,-@@0,-@@0
<a href='https://hf.co/marksverdhei/modern-norbert3-large'>marksverdhei/modern-norbert3-large</a>,🔍,-@@100,N/A,354290512.0,50000.0,512.0,✓,✗,(✓),✗,22.69 ± 3.26 / 41.95 ± 2.96@@22.69,34.19 ± 3.10 / 36.00 ± 3.74@@34.19,0.18 ± 1.28 / 35.93 ± 3.16@@0.18,10.32 ± 3.94 / 2.51 ± 1.14@@10.32,-@@-1,-@@-1,-@@-1,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,-@@0,-@@0,-@@0
<a href='https://hf.co/kyutai/helium-1-2b'>kyutai/helium-1-2b</a>,🧠,-@@100,N/A,2023868416.0,64000.0,4096.0,✓,✗,(✓),✗,0.00 ± 0.00 / 16.36 ± 0.30@@0.00,15.81 ± 4.08 / 16.85 ± 2.37@@15.81,0.00 ± 0.00 / 33.16 ± 0.38@@0.00,26.51 ± 2.59 / 8.67 ± 2.14@@26.51,-@@-1,0.80 ± 0.89 / 26.05 ± 0.96@@0.80,0.81 ± 1.59 / 56.50 ± 0.95@@0.81,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,-@@0,16.0.0.dev0@@160000,16.0.0.dev0@@160000
<a href='https://hf.co/lightonai/alfred-40b-1023'>lightonai/alfred-40b-1023</a>,📝,-@@100,?,?,65024.0,?,✓,✗,(✓),✗,3.38 ± 4.92 / 26.17 ± 4.89@@3.38,20.07 ± 2.89 / 19.05 ± 2.51@@20.07,1.59 ± 2.20 / 43.83 ± 3.37@@1.59,46.49 ± 1.22 / 19.73 ± 1.80@@46.49,-@@-1,5.62 ± 1.69 / 27.88 ± 1.12@@5.62,-5.98 ± 3.63 / 47.59 ± 1.76@@-5.98,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,-@@0,15.9.1.dev0@@150901,15.9.1.dev0@@150901
<a href='https://hf.co/ltg/norbert2'>ltg/norbert2</a>,🔍,-@@100,N/A,125165498.0,50104.0,512.0,✓,✗,(✓),✗,28.73 ± 1.13 / 49.87 ± 1.94@@28.73,20.03 ± 1.61 / 19.51 ± 1.60@@20.03,2.01 ± 1.37 / 48.50 ± 2.59@@2.01,19.46 ± 1.34 / 2.82 ± 0.46@@19.46,-@@-1,-@@-1,-@@-1,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0,-@@0,-@@0
<a href='https://hf.co/ltg/norbert3-large'>ltg/norbert3-large</a>,🔍,-@@100,N/A,354406402.0,50000.0,512.0,✓,✗,(✓),✗,34.74 ± 1.54 / 51.49 ± 3.16@@34.74,59.85 ± 1.71 / 61.70 ± 1.75@@59.85,0.32 ± 1.66 / 41.60 ± 3.50@@0.32,42.65 ± 2.53 / 21.07 ± 1.55@@42.65,-@@-1,-@@-1,-@@-1,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,-@@0,-@@0,-@@0
<a href='https://hf.co/ltg/norbert3-small'>ltg/norbert3-small</a>,🔍,-@@100,N/A,40634882.0,50000.0,512.0,✓,✗,(✓),✗,31.69 ± 1.82 / 50.53 ± 3.17@@31.69,53.71 ± 1.14 / 56.59 ± 1.52@@53.71,1.05 ± 1.62 / 44.50 ± 3.86@@1.05,27.99 ± 1.28 / 10.39 ± 0.69@@27.99,-@@-1,-@@-1,-@@-1,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0,-@@0,-@@0
<a href='https://hf.co/ltg/norbert'>ltg/norbert</a>,🔍,-@@100,N/A,111952540.0,32922.0,512.0,✓,✗,(✓),✗,1.24 ± 3.43 / 20.97 ± 2.77@@1.24,1.12 ± 0.20 / 1.16 ± 0.15@@1.12,1.07 ± 1.76 / 40.51 ± 4.14@@1.07,11.13 ± 0.57 / 0.06 ± 0.07@@11.13,-@@-1,-@@-1,-@@-1,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0,-@@0,-@@0
<a href='https://hf.co/marksverdhei/modern-norbert3-base'>marksverdhei/modern-norbert3-base</a>,🔍,-@@100,N/A,123994448.0,50000.0,512.0,✓,✗,(✓),✗,15.86 ± 3.11 / 36.95 ± 2.17@@15.86,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,-0.69 ± 1.69 / 45.44 ± 2.95@@-0.69,7.06 ± 2.88 / 0.15 ± 0.09@@7.06,-@@-1,-@@-1,-@@-1,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,-@@0,-@@0,-@@0
<a href='https://hf.co/ltg/norbert3-base'>ltg/norbert3-base</a>,🔍,-@@100,N/A,124032002.0,50000.0,512.0,✓,✗,(✓),✗,32.39 ± 2.40 / 51.39 ± 1.75@@32.39,56.10 ± 1.92 / 58.96 ± 1.46@@56.10,0.40 ± 1.56 / 42.86 ± 4.19@@0.40,24.60 ± 1.89 / 9.71 ± 1.28@@24.60,-@@-1,-@@-1,-@@-1,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0,-@@0,-@@0
<a href='https://hf.co/ltg/norbert3-xs'>ltg/norbert3-xs</a>,🔍,-@@100,N/A,14972162.0,50000.0,512.0,✓,✗,(✓),✗,30.65 ± 2.20 / 51.35 ± 2.28@@30.65,48.88 ± 1.33 / 51.73 ± 1.46@@48.88,-0.12 ± 1.60 / 45.31 ± 3.41@@-0.12,22.19 ± 2.95 / 7.86 ± 1.10@@22.19,-@@-1,-@@-1,-@@-1,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0,-@@0,-@@0
<a href='https://hf.co/ibm-granite/granite-8b-code-base-4k'>ibm-granite/granite-8b-code-base-4k</a>,🧠,-@@100,N/A,8054910976.0,49152.0,4096.0,✓,✗,(✓),✗,9.68 ± 3.14 / 29.64 ± 3.33@@9.68,51.13 ± 2.97 / 39.02 ± 5.05@@51.13,0.00 ± 0.00 / 33.50 ± 0.37@@0.00,-@@-1,-@@-1,2.23 ± 1.60 / 26.51 ± 0.85@@2.23,-@@-1,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
"<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (zero-shot, val)</a>",📝,-@@100,66.19,?,?,1047576.0,✓,✗,✗,✓,55.79 ± 1.95 / 66.09 ± 1.64@@55.79,30.92 ± 1.81 / 16.62 ± 0.92@@30.92,31.47 ± 2.85 / 64.67 ± 1.47@@31.47,44.02 ± 1.25 / 22.00 ± 1.29@@44.02,-@@-1,21.42 ± 4.13 / 41.88 ± 3.13@@21.42,-4.79 ± 7.21 / 54.45 ± 2.73@@-4.79,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,-@@0,15.6.1.dev0@@150601,15.6.1.dev0@@150601
"<a href='https://platform.openai.com/docs/models/gpt-4o'>gpt-4o-2024-05-13 (zero-shot, val)</a>",📝,-@@100,?,?,200019.0,128000.0,✓,✗,✗,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,46.23 ± 4.57 / 56.88 ± 3.60@@46.23,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
"<a href='https://platform.openai.com/docs/models/gpt-4o-mini'>gpt-4o-mini-2024-07-18 (zero-shot, val)</a>",📝,-@@100,?,?,200019.0,128000.0,✓,✗,✗,✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,37.77 ± 3.40 / 52.27 ± 2.55@@37.77,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
