<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,<a id=9 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=10 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=11 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=12 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=13 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=14 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
<a href='https://hf.co/allenai/OLMo-2-1124-7B-Instruct'>allenai/OLMo-2-1124-7B-Instruct</a>,📝,2.77@@2.77,?,7298617344.0,100352.0,4096.0,✓,✗,85.98 ± 0.56 / 92.89 ± 0.30@@85.98,37.48 ± 1.04 / 21.61 ± 1.12@@37.48,3.91 ± 1.38 / 44.35 ± 2.70@@3.91,64.40 ± 1.12 / 47.79 ± 0.93@@64.40,62.45 ± 0.11 / 7.51 ± 0.15@@62.45,7.22 ± 1.08 / 30.26 ± 0.77@@7.22,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/allenai/OLMo-2-1124-7B'>allenai/OLMo-2-1124-7B</a>,🧠,2.78@@2.78,N/A,7298617344.0,100352.0,4096.0,✓,✗,85.54 ± 1.27 / 92.48 ± 0.73@@85.54,33.26 ± 2.01 / 20.00 ± 1.37@@33.26,5.04 ± 2.39 / 45.01 ± 3.89@@5.04,68.53 ± 0.57 / 50.83 ± 1.07@@68.53,61.71 ± 0.43 / 9.05 ± 0.31@@61.71,5.28 ± 1.48 / 28.96 ± 0.90@@5.28,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/occiglot/occiglot-7b-eu5-instruct'>occiglot/occiglot-7b-eu5-instruct</a>,📝,2.79@@2.79,11.34,7241748480.0,32002.0,32768.0,✗,✗,83.71 ± 1.26 / 91.81 ± 0.67@@83.71,45.89 ± 2.02 / 21.39 ± 2.02@@45.89,3.85 ± 1.72 / 42.95 ± 3.84@@3.85,62.90 ± 2.47 / 35.15 ± 3.80@@62.90,61.35 ± 0.66 / 7.52 ± 0.29@@61.35,1.52 ± 0.99 / 26.10 ± 0.62@@1.52,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
<a href='https://hf.co/TrustLLMeu/baseline-7-8b_2-3t-tokens_llama'>TrustLLMeu/baseline-7-8b_2-3t-tokens_llama</a>,🧠,2.80@@2.80,N/A,7799574528.0,100096.0,4096.0,✓,✗,88.01 ± 0.95 / 93.96 ± 0.48@@88.01,41.68 ± 2.21 / 26.60 ± 3.80@@41.68,2.03 ± 1.78 / 35.69 ± 1.90@@2.03,63.16 ± 1.32 / 46.45 ± 1.82@@63.16,61.46 ± 0.26 / 8.59 ± 0.17@@61.46,3.89 ± 0.67 / 27.44 ± 0.38@@3.89,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
<a href='https://hf.co/ibm-granite/granite-4.0-h-tiny'>ibm-granite/granite-4.0-h-tiny</a>,📝,2.81@@2.81,0.01,6939037248.0,100352.0,131072.0,✓,✗,90.31 ± 0.63 / 95.15 ± 0.32@@90.31,46.19 ± 1.58 / 26.97 ± 2.81@@46.19,5.91 ± 1.96 / 39.04 ± 2.68@@5.91,30.11 ± 2.01 / 5.45 ± 1.99@@30.11,62.29 ± 0.52 / 7.85 ± 0.34@@62.29,26.68 ± 1.74 / 43.93 ± 1.64@@26.68,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B'>HuggingFaceTB/SmolLM3-3B</a>,🤔,2.82@@2.82,?,3075098624.0,128256.0,65536.0,✓,✗,79.86 ± 1.15 / 89.89 ± 0.58@@79.86,41.95 ± 2.61 / 27.07 ± 3.74@@41.95,8.13 ± 1.05 / 52.76 ± 1.06@@8.13,62.61 ± 0.97 / 38.90 ± 1.95@@62.61,60.22 ± 0.51 / 6.17 ± 0.39@@60.22,4.32 ± 0.62 / 28.30 ± 0.57@@4.32,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.11.0.dev0@@151100,15.10.1.dev0@@151001
<a href='https://hf.co/ibm-granite/granite-20b-code-instruct'>ibm-granite/granite-20b-code-instruct</a>,📝,2.83@@2.83,?,20066993152.0,49152.0,8192.0,✓,✗,78.98 ± 0.98 / 88.71 ± 0.59@@78.98,44.95 ± 2.81 / 25.19 ± 3.53@@44.95,3.61 ± 1.45 / 46.11 ± 3.48@@3.61,61.33 ± 1.34 / 43.17 ± 1.54@@61.33,60.72 ± 0.21 / 7.15 ± 0.15@@60.72,4.09 ± 1.03 / 25.88 ± 1.03@@4.09,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/lightonai/alfred-40b-1023'>lightonai/alfred-40b-1023</a>,📝,2.86@@2.86,?,?,65024.0,?,✓,✗,84.24 ± 1.42 / 92.01 ± 0.77@@84.24,39.98 ± 2.96 / 23.09 ± 4.71@@39.98,3.19 ± 0.66 / 43.33 ± 2.48@@3.19,61.75 ± 0.84 / 40.89 ± 1.79@@61.75,60.64 ± 0.41 / 7.42 ± 0.31@@60.64,1.19 ± 1.32 / 26.05 ± 0.58@@1.19,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901,15.9.1.dev0@@150901
<a href='https://hf.co/THUDM/GLM-4.1V-9B-Thinking'>THUDM/GLM-4.1V-9B-Thinking</a>,🤔,2.88@@2.88,?,10292777472.0,151552.0,65536.0,✓,✗,91.54 ± 0.55 / 95.73 ± 0.28@@91.54,49.21 ± 1.31 / 22.97 ± 0.95@@49.21,31.95 ± 1.12 / 65.72 ± 0.81@@31.95,10.11 ± 0.71 / 0.00 ± 0.00@@10.11,60.43 ± 0.11 / 5.83 ± 0.08@@60.43,0.00 ± 0.00 / 25.72 ± 0.28@@0.00,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300,15.13.0.dev0@@151300
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct'>allenai/Olmo-3-7B-Instruct</a>,📝,2.88@@2.88,0.01,7298011136.0,100278.0,65536.0,✗,✗,85.41 ± 0.81 / 92.66 ± 0.42@@85.41,37.51 ± 1.61 / 21.85 ± 1.34@@37.51,4.38 ± 2.78 / 44.19 ± 5.59@@4.38,55.55 ± 1.08 / 37.98 ± 1.38@@55.55,61.57 ± 0.11 / 7.18 ± 0.10@@61.57,3.88 ± 1.36 / 27.26 ± 0.90@@3.88,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-DPO'>allenai/Olmo-3-7B-Instruct-DPO</a>,📝,2.91@@2.91,0.04,7298011136.0,100278.0,65536.0,✗,✗,85.68 ± 0.71 / 92.78 ± 0.38@@85.68,37.09 ± 1.43 / 21.10 ± 1.46@@37.09,5.75 ± 2.38 / 48.83 ± 4.55@@5.75,52.20 ± 0.94 / 31.98 ± 0.98@@52.20,61.35 ± 0.14 / 6.88 ± 0.13@@61.35,2.24 ± 1.28 / 25.98 ± 1.00@@2.24,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/openGPT-X/Teuken-7B-instruct-research-v0.4'>openGPT-X/Teuken-7B-instruct-research-v0.4</a>,📝,2.91@@2.91,?,7452725248.0,250680.0,4096.0,✗,✗,74.24 ± 3.83 / 85.49 ± 2.54@@74.24,32.58 ± 1.86 / 17.85 ± 0.96@@32.58,3.43 ± 1.65 / 44.74 ± 2.63@@3.43,62.04 ± 1.45 / 42.85 ± 1.94@@62.04,60.72 ± 0.31 / 6.61 ± 0.21@@60.72,10.32 ± 1.21 / 31.70 ± 0.99@@10.32,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-SFT'>allenai/Olmo-3-7B-Instruct-SFT</a>,📝,2.93@@2.93,3.51,7298011136.0,100278.0,65536.0,✗,✗,85.21 ± 0.84 / 92.51 ± 0.46@@85.21,38.97 ± 2.13 / 21.79 ± 1.73@@38.97,6.42 ± 1.81 / 51.45 ± 1.65@@6.42,55.07 ± 2.16 / 34.54 ± 2.41@@55.07,58.42 ± 1.82 / 7.87 ± 0.40@@58.42,2.18 ± 1.52 / 25.94 ± 1.12@@2.18,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/Qwen/Qwen2.5-1.5B-Instruct'>Qwen/Qwen2.5-1.5B-Instruct</a>,📝,2.94@@2.94,0.01,1543714304.0,151936.0,32768.0,✓,✗,77.38 ± 1.15 / 88.11 ± 0.73@@77.38,27.36 ± 1.87 / 15.50 ± 1.00@@27.36,7.58 ± 1.03 / 49.37 ± 1.86@@7.58,61.51 ± 0.82 / 42.43 ± 1.41@@61.51,61.16 ± 0.40 / 7.10 ± 0.49@@61.16,5.10 ± 1.30 / 28.45 ± 0.93@@5.10,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/LumiOpen/Viking-13B'>LumiOpen/Viking-13B</a>,🧠,2.95@@2.95,N/A,14030361600.0,131072.0,4096.0,✓,✗,90.30 ± 0.46 / 95.11 ± 0.24@@90.30,33.72 ± 2.85 / 17.90 ± 1.42@@33.72,1.40 ± 0.80 / 45.94 ± 2.68@@1.40,60.60 ± 2.63 / 44.20 ± 3.64@@60.60,59.04 ± 2.02 / 8.54 ± 0.96@@59.04,-0.36 ± 1.55 / 25.83 ± 0.46@@-0.36,15.9.2.dev0@@150902,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B-Base'>HuggingFaceTB/SmolLM3-3B-Base</a>,🧠,2.96@@2.96,N/A,3075098624.0,128256.0,65536.0,✓,✗,82.02 ± 0.56 / 90.97 ± 0.31@@82.02,39.50 ± 3.32 / 24.25 ± 3.85@@39.50,2.22 ± 1.71 / 42.88 ± 3.27@@2.22,62.81 ± 1.20 / 41.97 ± 2.41@@62.81,57.78 ± 1.85 / 7.38 ± 0.62@@57.78,1.62 ± 0.93 / 25.56 ± 0.89@@1.62,16.5.0.dev0@@160500,15.10.1.dev0@@151001,16.5.0.dev0@@160500,15.10.1.dev0@@151001,15.10.1.dev0@@151001,16.5.0.dev0@@160500
<a href='https://hf.co/arcee-ai/AFM-4.5B-Base'>arcee-ai/AFM-4.5B-Base</a>,🧠,2.98@@2.98,N/A,4619184640.0,128004.0,65536.0,✓,✗,82.96 ± 1.36 / 91.23 ± 0.80@@82.96,29.56 ± 3.35 / 20.88 ± 3.37@@29.56,2.59 ± 1.41 / 45.04 ± 3.70@@2.59,62.14 ± 1.13 / 41.54 ± 1.87@@62.14,59.68 ± 0.94 / 7.61 ± 0.46@@59.68,1.64 ± 1.25 / 24.54 ± 0.89@@1.64,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/TrustLLMeu/baseline-7-8b_1t-tokens_llama'>TrustLLMeu/baseline-7-8b_1t-tokens_llama</a>,🧠,3.01@@3.01,N/A,7799574528.0,100096.0,4096.0,✓,✗,71.76 ± 3.77 / 84.36 ± 2.68@@71.76,39.42 ± 2.50 / 34.41 ± 1.90@@39.42,1.40 ± 2.05 / 40.64 ± 3.82@@1.40,56.14 ± 2.29 / 40.17 ± 2.52@@56.14,60.28 ± 0.91 / 7.77 ± 0.26@@60.28,0.96 ± 0.80 / 25.58 ± 0.62@@0.96,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
<a href='https://hf.co/LumiOpen/Viking-7B'>LumiOpen/Viking-7B</a>,🧠,3.03@@3.03,N/A,7550013440.0,131072.0,4096.0,✓,✗,91.09 ± 0.43 / 95.53 ± 0.21@@91.09,32.42 ± 1.83 / 19.56 ± 1.80@@32.42,3.54 ± 2.20 / 42.41 ± 4.66@@3.54,63.09 ± 1.79 / 48.81 ± 1.55@@63.09,55.58 ± 1.31 / 6.35 ± 0.62@@55.58,-0.99 ± 1.26 / 24.23 ± 1.19@@-0.99,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
<a href='https://hf.co/openGPT-X/Teuken-7B-instruct-commercial-v0.4'>openGPT-X/Teuken-7B-instruct-commercial-v0.4</a>,📝,3.04@@3.04,?,7452725248.0,250680.0,4096.0,✓,✗,53.13 ± 9.76 / 70.07 ± 7.85@@53.13,34.98 ± 2.17 / 22.26 ± 1.75@@34.98,1.73 ± 1.08 / 44.49 ± 1.57@@1.73,54.85 ± 2.45 / 36.95 ± 1.82@@54.85,63.50 ± 0.18 / 10.11 ± 0.18@@63.50,9.75 ± 1.11 / 27.84 ± 0.97@@9.75,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
<a href='https://hf.co/BSC-LT/salamandra-7b'>BSC-LT/salamandra-7b</a>,🧠,3.04@@3.04,N/A,7768117248.0,256000.0,8192.0,✓,✗,90.57 ± 0.87 / 95.19 ± 0.46@@90.57,19.44 ± 1.24 / 17.79 ± 1.09@@19.44,1.84 ± 1.73 / 42.71 ± 3.57@@1.84,50.90 ± 2.84 / 36.78 ± 2.81@@50.90,63.25 ± 0.56 / 8.70 ± 0.48@@63.25,0.85 ± 1.27 / 25.03 ± 0.90@@0.85,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-3B'>deepcogito/cogito-v1-preview-llama-3B</a>,📝,3.05@@3.05,13.17,3606752256.0,128256.0,131072.0,✓,✗,84.89 ± 2.08 / 92.09 ± 1.23@@84.89,45.45 ± 1.72 / 26.71 ± 1.33@@45.45,8.04 ± 1.65 / 50.41 ± 2.71@@8.04,19.82 ± 1.01 / 0.15 ± 0.09@@19.82,61.16 ± 0.18 / 7.00 ± 0.08@@61.16,7.39 ± 1.65 / 30.26 ± 1.34@@7.39,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/utter-project/EuroLLM-1.7B-Instruct'>utter-project/EuroLLM-1.7B-Instruct</a>,📝,3.06@@3.06,?,1656850432.0,128000.0,4096.0,✓,✗,81.74 ± 4.76 / 90.10 ± 3.01@@81.74,21.13 ± 2.94 / 18.86 ± 2.17@@21.13,2.59 ± 1.12 / 37.91 ± 2.57@@2.59,58.51 ± 1.22 / 40.78 ± 1.74@@58.51,61.70 ± 0.31 / 8.43 ± 0.36@@61.70,0.52 ± 0.70 / 23.83 ± 0.93@@0.52,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
<a href='https://hf.co/arcee-ai/Trinity-Nano-Preview'>arcee-ai/Trinity-Nano-Preview</a>,📝,3.09@@3.09,0.58,6120003328.0,200192.0,131072.0,✓,✗,60.75 ± 9.71 / 76.05 ± 7.53@@60.75,41.94 ± 1.59 / 29.87 ± 2.42@@41.94,3.01 ± 3.08 / 35.82 ± 3.72@@3.01,40.17 ± 6.14 / 29.03 ± 5.12@@40.17,61.72 ± 0.09 / 6.82 ± 0.10@@61.72,7.54 ± 1.42 / 29.59 ± 0.89@@7.54,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/utter-project/EuroLLM-1.7B'>utter-project/EuroLLM-1.7B</a>,🧠,3.10@@3.10,N/A,?,128000.0,4096.0,✓,✗,85.58 ± 1.50 / 92.61 ± 0.88@@85.58,22.45 ± 2.88 / 19.85 ± 2.60@@22.45,0.08 ± 2.03 / 40.08 ± 4.63@@0.08,58.64 ± 2.23 / 44.31 ± 2.45@@58.64,60.15 ± 1.09 / 8.02 ± 0.32@@60.15,0.47 ± 0.88 / 25.00 ± 0.73@@0.47,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
<a href='https://hf.co/Finnish-NLP/Ahma-2-4B-Instruct'>Finnish-NLP/Ahma-2-4B-Instruct</a>,📝,3.10@@3.10,0.46,3880099328.0,262144.0,131072.0,✓,✗,91.13 ± 0.57 / 95.54 ± 0.29@@91.13,29.39 ± 1.97 / 20.60 ± 1.01@@29.39,1.10 ± 2.06 / 37.50 ± 2.00@@1.10,25.23 ± 0.78 / 0.34 ± 0.26@@25.23,62.69 ± 0.15 / 7.91 ± 0.13@@62.69,18.32 ± 2.07 / 37.16 ± 1.90@@18.32,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/CohereForAI/aya-23-8B'>CohereForAI/aya-23-8B</a>,📝,3.11@@3.11,?,8028033024.0,256000.0,8192.0,✗,✗,84.33 ± 1.76 / 91.93 ± 0.99@@84.33,36.96 ± 1.69 / 26.45 ± 2.30@@36.96,0.32 ± 0.62 / 33.32 ± 0.28@@0.32,56.44 ± 1.14 / 39.26 ± 1.58@@56.44,55.84 ± 0.53 / 5.72 ± 0.38@@55.84,0.25 ± 1.12 / 25.10 ± 0.91@@0.25,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000
<a href='https://hf.co/mistralai/Mistral-7B-Instruct-v0.2'>mistralai/Mistral-7B-Instruct-v0.2</a>,📝,3.14@@3.14,?,7241732096.0,32000.0,32768.0,✗,✗,85.41 ± 0.47 / 92.65 ± 0.25@@85.41,38.53 ± 1.39 / 20.08 ± 0.96@@38.53,4.21 ± 0.91 / 48.92 ± 0.99@@4.21,32.17 ± 1.77 / 4.33 ± 1.08@@32.17,57.94 ± 0.63 / 3.75 ± 0.68@@57.94,7.05 ± 1.27 / 30.32 ± 0.94@@7.05,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking</a>,📝,3.18@@3.18,8.36,751632384.0,151936.0,40960.0,✓,✗,68.24 ± 2.47 / 83.11 ± 1.68@@68.24,32.59 ± 2.44 / 16.80 ± 1.90@@32.59,1.10 ± 0.94 / 42.35 ± 4.47@@1.10,45.66 ± 1.85 / 29.78 ± 1.95@@45.66,61.06 ± 0.20 / 6.99 ± 0.21@@61.06,2.13 ± 1.19 / 26.67 ± 0.67@@2.13,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B</a>,🤔,3.18@@3.18,?,751632384.0,151936.0,40960.0,✓,✗,70.97 ± 1.68 / 85.19 ± 1.01@@70.97,27.60 ± 2.17 / 18.21 ± 1.57@@27.60,2.06 ± 1.24 / 45.71 ± 1.03@@2.06,49.34 ± 1.19 / 32.86 ± 1.93@@49.34,60.48 ± 0.14 / 6.45 ± 0.09@@60.48,2.33 ± 1.19 / 26.99 ± 0.83@@2.33,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/arcee-ai/AFM-4.5B'>arcee-ai/AFM-4.5B</a>,📝,3.19@@3.19,0.74,4619189760.0,128005.0,65536.0,✓,✗,81.17 ± 1.81 / 90.49 ± 0.96@@81.17,37.98 ± 3.00 / 23.39 ± 2.12@@37.98,6.65 ± 2.51 / 47.21 ± 2.68@@6.65,22.26 ± 1.30 / 0.31 ± 0.09@@22.26,60.28 ± 0.12 / 6.40 ± 0.07@@60.28,3.23 ± 1.23 / 27.22 ± 0.72@@3.23,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/Qwen/Qwen2.5-Math-7B'>Qwen/Qwen2.5-Math-7B</a>,📝,3.19@@3.19,?,7615616512.0,152064.0,4096.0,✓,✗,83.21 ± 1.58 / 91.58 ± 0.79@@83.21,30.05 ± 2.69 / 20.82 ± 1.79@@30.05,3.10 ± 2.08 / 34.53 ± 0.87@@3.10,45.29 ± 4.86 / 20.07 ± 6.18@@45.29,55.68 ± 1.97 / 5.56 ± 0.56@@55.68,4.10 ± 1.17 / 27.08 ± 1.16@@4.10,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Preview</a>,🧠,3.22@@3.22,N/A,2611528704.0,128000.0,4096.0,✓,✗,79.54 ± 5.59 / 88.82 ± 3.86@@79.54,7.81 ± 3.00 / 7.45 ± 2.29@@7.81,1.88 ± 1.63 / 37.70 ± 3.79@@1.88,56.64 ± 1.28 / 41.45 ± 1.41@@56.64,61.91 ± 0.74 / 8.90 ± 0.68@@61.91,1.03 ± 1.05 / 26.58 ± 0.77@@1.03,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/LiquidAI/LFM2-2.6B'>LiquidAI/LFM2-2.6B</a>,📝,3.23@@3.23,0.4,2569272320.0,65536.0,128000.0,✗,✗,69.74 ± 2.21 / 84.15 ± 1.43@@69.74,27.88 ± 2.29 / 18.28 ± 1.37@@27.88,0.63 ± 1.74 / 45.74 ± 1.65@@0.63,44.58 ± 2.11 / 22.29 ± 2.01@@44.58,59.91 ± 0.11 / 6.35 ± 0.07@@59.91,5.02 ± 1.15 / 28.33 ± 0.86@@5.02,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/google/gemma-3-1b-pt'>google/gemma-3-1b-pt</a>,🧠,3.24@@3.24,N/A,999885952.0,262144.0,32768.0,✓,✗,89.97 ± 0.71 / 94.97 ± 0.35@@89.97,20.83 ± 1.49 / 19.08 ± 1.48@@20.83,1.11 ± 1.17 / 38.34 ± 3.16@@1.11,50.27 ± 4.11 / 34.65 ± 3.99@@50.27,56.94 ± 1.65 / 7.33 ± 0.73@@56.94,-1.01 ± 1.00 / 25.01 ± 0.67@@-1.01,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/meta-llama/Llama-3.2-1B'>meta-llama/Llama-3.2-1B</a>,🧠,3.24@@3.24,N/A,1235814400.0,128256.0,131072.0,✓,✗,81.07 ± 3.00 / 90.30 ± 1.72@@81.07,20.99 ± 2.41 / 17.32 ± 2.08@@20.99,-0.13 ± 2.27 / 48.41 ± 1.57@@-0.13,53.20 ± 2.36 / 32.93 ± 2.82@@53.20,58.08 ± 0.64 / 6.43 ± 0.35@@58.08,-0.75 ± 1.24 / 24.22 ± 0.87@@-0.75,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/HuggingFaceTB/SmolLM2-1.7B-Instruct'>HuggingFaceTB/SmolLM2-1.7B-Instruct</a>,📝,3.30@@3.30,?,1711376384.0,49152.0,8192.0,✓,✗,61.14 ± 3.71 / 77.91 ± 3.20@@61.14,26.92 ± 1.83 / 14.58 ± 1.26@@26.92,1.68 ± 1.61 / 41.16 ± 3.77@@1.68,44.99 ± 2.77 / 27.58 ± 2.79@@44.99,60.10 ± 0.41 / 6.76 ± 0.16@@60.10,0.28 ± 1.06 / 25.51 ± 0.79@@0.28,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/tencent/Hunyuan-7B-Instruct'>tencent/Hunyuan-7B-Instruct</a>,🤔,3.30@@3.30,?,7504568320.0,128167.0,32768.0,✓,✗,64.37 ± 2.51 / 82.10 ± 1.27@@64.37,32.80 ± 2.08 / 22.12 ± 1.40@@32.80,5.39 ± 2.24 / 47.04 ± 1.25@@5.39,34.60 ± 0.83 / 0.00 ± 0.00@@34.60,59.00 ± 0.28 / 5.03 ± 0.21@@59.00,0.00 ± 0.00 / 25.72 ± 0.28@@0.00,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/microsoft/Phi-4-reasoning'>microsoft/Phi-4-reasoning</a>,🤔,3.33@@3.33,?,14659507200.0,100352.0,32768.0,✓,✗,7.66 ± 10.08 / 43.52 ± 4.84@@7.66,31.75 ± 6.38 / 24.50 ± 4.49@@31.75,0.04 ± 1.37 / 33.58 ± 0.42@@0.04,70.57 ± 0.92 / 50.62 ± 1.67@@70.57,59.19 ± 4.43 / 6.09 ± 1.02@@59.19,19.55 ± 2.05 / 37.26 ± 1.75@@19.55,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
