<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,~~~<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>~~~,,~~~<a id=14 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>~~~,,<a id=16 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=17 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,~~~<a id=18 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>~~~,,<a id=20 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,,,,
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview</a>,📝,3.75@@3.75,0.64,2611528704.0,128000.0,4096.0,✓,✗,(✓),✓,-3.61 ± 3.27 / 18.39 ± 3.75@@-3.61,18.85 ± 3.65 / 18.45 ± 2.76@@18.85,21.45 ± 3.36 / 20.41 ± 3.19@@21.45,2.12 ± 1.89 / 41.08 ± 2.86@@2.12,0.75 ± 2.21 / 36.66 ± 3.45@@0.75,51.11 ± 2.58 / 27.68 ± 3.15@@51.11,26.83 ± 0.29 / 30.95 ± 0.28@@26.83,-0.14 ± 0.58 / 30.37 ± 0.65@@-0.14,-0.92 ± 0.98 / 25.04 ± 0.82@@-0.92,-1.69 ± 1.70 / 18.92 ± 1.14@@-1.69,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,16.15.0.dev0@@161500,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/google/gemma-4-E2B'>google/gemma-4-E2B (val)</a>,🧠,3.78@@3.78,N/A,5123178979.0,262144.0,8192.0,✓,✗,(✓),✓,14.97 ± 3.02 / 38.75 ± 2.37@@14.97,14.09 ± 1.71 / 14.70 ± 1.57@@14.09,20.63 ± 2.43 / 19.58 ± 1.92@@20.63,3.29 ± 2.62 / 49.22 ± 1.28@@3.29,4.20 ± 2.46 / 48.67 ± 1.55@@4.20,43.53 ± 1.95 / 22.84 ± 1.57@@43.53,16.33 ± 0.60 / 17.29 ± 0.71@@16.33,5.90 ± 1.79 / 29.45 ± 1.28@@5.90,3.10 ± 1.81 / 27.19 ± 1.41@@3.10,21.09 ± 2.13 / 36.41 ± 1.73@@21.09,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct</a>,📝,3.83@@3.83,?,1235814400.0,128256.0,131072.0,✓,✗,(✓),✓,2.89 ± 3.29 / 25.42 ± 4.07@@2.89,37.34 ± 2.67 / 28.43 ± 2.54@@37.34,39.53 ± 2.66 / 30.16 ± 2.45@@39.53,1.27 ± 1.83 / 46.91 ± 2.84@@1.27,1.79 ± 1.97 / 45.60 ± 4.32@@1.79,8.88 ± 2.53 / 0.10 ± 0.16@@8.88,26.23 ± 0.40 / 28.37 ± 0.58@@26.23,0.92 ± 1.69 / 26.17 ± 0.76@@0.92,-0.07 ± 0.95 / 24.92 ± 0.77@@-0.07,1.15 ± 1.39 / 20.82 ± 1.13@@1.15,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/PleIAs/Pleias-1.2b-Preview'>PleIAs/Pleias-1.2b-Preview</a>,🧠,3.87@@3.87,N/A,1195468800.0,65536.0,2048.0,✓,✗,(✓),✓,20.09 ± 6.23 / 39.77 ± 6.24@@20.09,36.31 ± 2.33 / 35.37 ± 3.37@@36.31,38.11 ± 2.46 / 37.40 ± 2.68@@38.11,0.03 ± 0.60 / 33.37 ± 0.27@@0.03,0.25 ± 1.04 / 33.35 ± 0.27@@0.25,23.07 ± 3.70 / 12.99 ± 1.98@@23.07,16.22 ± 1.34 / 17.48 ± 1.69@@16.22,1.72 ± 1.61 / 28.33 ± 1.44@@1.72,0.96 ± 1.34 / 25.81 ± 0.58@@0.96,0.05 ± 1.36 / 19.91 ± 1.04@@0.05,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/LiquidAI/LFM2-700M'>LiquidAI/LFM2-700M</a>,📝,3.88@@3.88,0.01,742489344.0,65536.0,128000.0,✗,✗,(✓),✓,8.02 ± 2.33 / 36.49 ± 2.16@@8.02,35.45 ± 2.60 / 31.70 ± 3.10@@35.45,34.04 ± 0.92 / 30.97 ± 1.51@@34.04,-0.34 ± 0.97 / 41.62 ± 4.17@@-0.34,-3.15 ± 0.96 / 41.08 ± 3.70@@-3.15,10.22 ± 1.16 / 1.46 ± 0.81@@10.22,24.31 ± 0.66 / 27.63 ± 0.72@@24.31,-0.19 ± 0.49 / 24.21 ± 0.52@@-0.19,-0.77 ± 0.71 / 25.92 ± 0.61@@-0.77,0.48 ± 0.93 / 19.92 ± 0.56@@0.48,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/LiquidAI/LFM2-1.2B'>LiquidAI/LFM2-1.2B</a>,📝,3.89@@3.89,0.03,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,5.92 ± 2.70 / 31.83 ± 3.01@@5.92,30.69 ± 1.97 / 27.44 ± 1.86@@30.69,33.58 ± 1.63 / 29.90 ± 1.72@@33.58,1.25 ± 1.98 / 44.89 ± 4.13@@1.25,2.20 ± 1.39 / 44.64 ± 3.20@@2.20,8.89 ± 1.02 / 0.36 ± 0.47@@8.89,23.79 ± 0.22 / 27.52 ± 0.24@@23.79,1.75 ± 1.37 / 28.44 ± 0.96@@1.75,0.36 ± 0.94 / 25.55 ± 0.60@@0.36,1.08 ± 1.53 / 20.73 ± 1.00@@1.08,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Preview</a>,🧠,3.96@@3.96,N/A,2611528704.0,128000.0,4096.0,✓,✗,(✓),✓,2.11 ± 2.41 / 20.38 ± 3.41@@2.11,7.78 ± 3.33 / 9.08 ± 2.59@@7.78,18.39 ± 5.38 / 18.66 ± 4.78@@18.39,-0.07 ± 0.88 / 35.25 ± 2.01@@-0.07,0.63 ± 1.56 / 37.56 ± 2.50@@0.63,48.77 ± 2.54 / 29.71 ± 2.17@@48.77,18.37 ± 2.20 / 19.39 ± 2.33@@18.37,5.95 ± 1.59 / 25.15 ± 0.68@@5.95,-0.51 ± 0.75 / 24.95 ± 0.59@@-0.51,0.82 ± 1.66 / 20.45 ± 1.26@@0.82,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,16.15.0.dev0@@161500,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/google/gemma-3-270m'>google/gemma-3-270m</a>,🧠,3.98@@3.98,N/A,268098176.0,262144.0,32768.0,✓,✗,(✓),✓,19.27 ± 2.69 / 31.40 ± 2.05@@19.27,30.17 ± 3.31 / 30.95 ± 3.40@@30.17,29.79 ± 4.00 / 29.99 ± 4.48@@29.79,-0.28 ± 0.81 / 33.47 ± 0.41@@-0.28,-1.48 ± 1.16 / 35.63 ± 2.77@@-1.48,10.24 ± 1.16 / 2.78 ± 0.71@@10.24,18.07 ± 0.92 / 20.01 ± 1.21@@18.07,-0.02 ± 0.98 / 25.02 ± 0.76@@-0.02,0.33 ± 0.49 / 25.73 ± 0.53@@0.33,0.24 ± 1.54 / 20.52 ± 0.89@@0.24,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/google/gemma-3-270m-it'>google/gemma-3-270m-it</a>,📝,4.00@@4.00,5.67,268098176.0,262144.0,32768.0,✓,✗,(✓),✓,6.50 ± 6.00 / 26.63 ± 4.68@@6.50,19.58 ± 5.34 / 20.36 ± 4.07@@19.58,9.48 ± 4.36 / 9.75 ± 4.14@@9.48,0.71 ± 1.85 / 40.19 ± 5.50@@0.71,0.68 ± 1.04 / 40.03 ± 4.36@@0.68,6.32 ± 0.53 / 0.00 ± 0.00@@6.32,25.57 ± 0.52 / 29.14 ± 0.73@@25.57,0.36 ± 0.49 / 25.75 ± 1.83@@0.36,0.17 ± 0.34 / 25.77 ± 0.67@@0.17,0.90 ± 1.39 / 20.38 ± 0.68@@0.90,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/NbAiLab/borealis-270m-instruct-preview'>NbAiLab/borealis-270m-instruct-preview (val)</a>,📝,4.00@@4.00,2.14,268098176.0,262144.0,32768.0,✓,✗,(✓),✗,4.49 ± 4.67 / 26.31 ± 3.84@@4.49,16.05 ± 4.88 / 17.51 ± 4.97@@16.05,13.75 ± 6.02 / 13.31 ± 6.02@@13.75,0.81 ± 7.11 / 41.79 ± 3.86@@0.81,-2.84 ± 3.18 / 40.75 ± 4.18@@-2.84,12.62 ± 1.34 / 3.29 ± 0.87@@12.62,23.66 ± 0.58 / 26.67 ± 0.80@@23.66,2.02 ± 2.59 / 28.52 ± 3.11@@2.02,-0.47 ± 2.61 / 25.74 ± 2.10@@-0.47,-1.35 ± 3.08 / 17.34 ± 3.67@@-1.35,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.17.0.dev0@@161700,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601
<a href='https://hf.co/LiquidAI/LFM2-350M'>LiquidAI/LFM2-350M</a>,📝,4.03@@4.03,1.01,354483968.0,65536.0,128000.0,✗,✗,(✓),✓,10.25 ± 1.74 / 26.75 ± 2.15@@10.25,23.10 ± 2.19 / 22.64 ± 2.09@@23.10,21.98 ± 0.89 / 21.34 ± 0.82@@21.98,-0.40 ± 1.28 / 43.19 ± 3.05@@-0.40,1.36 ± 1.67 / 44.25 ± 3.49@@1.36,4.50 ± 0.24 / 0.16 ± 0.09@@4.50,21.66 ± 0.68 / 24.22 ± 0.85@@21.66,4.98 ± 1.55 / 27.51 ± 0.73@@4.98,1.78 ± 0.88 / 25.13 ± 0.74@@1.78,-0.68 ± 0.68 / 19.44 ± 0.72@@-0.68,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M-Instruct'>HuggingFaceTB/SmolLM2-360M-Instruct</a>,📝,4.10@@4.10,14.14,361821120.0,49152.0,8192.0,✓,✗,(✓),✓,2.37 ± 1.67 / 23.53 ± 3.42@@2.37,25.39 ± 1.52 / 25.13 ± 2.21@@25.39,25.47 ± 2.48 / 25.18 ± 2.66@@25.47,-0.22 ± 0.43 / 33.30 ± 0.27@@-0.22,0.52 ± 1.01 / 33.55 ± 0.59@@0.52,6.16 ± 0.67 / 0.01 ± 0.02@@6.16,20.58 ± 1.44 / 22.71 ± 1.76@@20.58,0.55 ± 1.11 / 24.23 ± 0.61@@0.55,0.95 ± 0.70 / 26.03 ± 0.70@@0.95,-1.83 ± 1.26 / 18.85 ± 1.07@@-1.83,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/PleIAs/Pleias-350m-Preview'>PleIAs/Pleias-350m-Preview</a>,🧠,4.15@@4.15,N/A,353424384.0,65536.0,2048.0,✓,✗,(✓),✓,5.86 ± 2.29 / 17.46 ± 4.49@@5.86,28.44 ± 1.96 / 28.76 ± 2.40@@28.44,28.17 ± 1.15 / 29.59 ± 1.36@@28.17,0.08 ± 1.01 / 36.74 ± 3.31@@0.08,0.88 ± 1.21 / 36.53 ± 3.27@@0.88,7.73 ± 0.84 / 1.66 ± 0.68@@7.73,16.40 ± 1.06 / 17.83 ± 1.32@@16.40,-1.39 ± 0.98 / 26.28 ± 1.16@@-1.39,1.19 ± 1.01 / 26.12 ± 0.60@@1.19,-0.71 ± 1.07 / 19.49 ± 0.94@@-0.71,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M'>HuggingFaceTB/SmolLM2-135M</a>,🧠,4.18@@4.18,N/A,134515008.0,49152.0,8192.0,✓,✗,(✓),✓,4.33 ± 4.28 / 24.72 ± 3.44@@4.33,25.93 ± 2.50 / 27.98 ± 2.25@@25.93,24.57 ± 1.61 / 26.71 ± 1.42@@24.57,0.05 ± 0.77 / 38.64 ± 3.99@@0.05,0.34 ± 1.22 / 37.35 ± 2.90@@0.34,2.35 ± 0.84 / 0.35 ± 0.25@@2.35,16.85 ± 1.78 / 18.00 ± 1.97@@16.85,0.65 ± 1.58 / 24.56 ± 0.60@@0.65,1.78 ± 1.07 / 25.66 ± 0.75@@1.78,1.15 ± 1.44 / 21.00 ± 1.10@@1.15,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M-Instruct'>HuggingFaceTB/SmolLM2-135M-Instruct</a>,📝,4.20@@4.20,3.9,134515008.0,49152.0,8192.0,✓,✗,(✓),✓,2.02 ± 1.71 / 13.94 ± 3.68@@2.02,19.76 ± 2.15 / 21.16 ± 2.06@@19.76,19.35 ± 2.06 / 20.92 ± 2.43@@19.35,0.17 ± 1.54 / 37.99 ± 4.16@@0.17,1.31 ± 1.68 / 38.10 ± 4.33@@1.31,2.68 ± 0.44 / 0.00 ± 0.00@@2.68,18.81 ± 1.22 / 20.39 ± 1.44@@18.81,4.44 ± 1.96 / 26.08 ± 1.05@@4.44,0.68 ± 1.07 / 25.46 ± 0.96@@0.68,-1.12 ± 1.10 / 19.04 ± 0.79@@-1.12,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct</a>,📝,4.22@@4.22,12.35,107908288.0,65536.0,262144.0,✓,✗,(✓),✓,-0.02 ± 0.80 / 9.66 ± 0.34@@-0.02,19.65 ± 1.49 / 19.83 ± 1.52@@19.65,17.45 ± 1.29 / 17.61 ± 1.32@@17.45,0.23 ± 1.61 / 34.42 ± 1.54@@0.23,0.89 ± 1.34 / 37.25 ± 3.10@@0.89,5.15 ± 0.63 / 1.26 ± 0.38@@5.15,18.86 ± 1.26 / 20.81 ± 1.59@@18.86,0.90 ± 1.17 / 24.21 ± 0.54@@0.90,-0.73 ± 1.31 / 25.68 ± 0.89@@-0.73,1.05 ± 1.41 / 20.51 ± 1.02@@1.05,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.14.0.dev0@@161400,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M'>HuggingFaceTB/SmolLM2-360M</a>,🧠,4.24@@4.24,N/A,361821120.0,49152.0,8192.0,✓,✗,(✓),✓,1.99 ± 2.02 / 19.53 ± 1.99@@1.99,27.13 ± 1.93 / 24.04 ± 2.13@@27.13,24.06 ± 1.89 / 22.47 ± 2.12@@24.06,-0.11 ± 0.22 / 33.36 ± 0.28@@-0.11,0.00 ± 0.00 / 33.30 ± 0.27@@0.00,10.88 ± 2.10 / 5.42 ± 1.42@@10.88,14.59 ± 1.86 / 15.69 ± 2.10@@14.59,0.04 ± 0.84 / 24.22 ± 0.43@@0.04,-0.63 ± 1.10 / 25.88 ± 0.73@@-0.63,0.94 ± 1.72 / 20.02 ± 0.70@@0.94,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Base'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Base</a>,🧠,4.31@@4.31,N/A,107908288.0,65536.0,262144.0,✓,✗,(✓),✓,4.35 ± 0.92 / 20.82 ± 3.05@@4.35,19.48 ± 2.41 / 21.28 ± 2.29@@19.48,17.60 ± 1.87 / 19.85 ± 1.36@@17.60,-0.48 ± 1.14 / 38.49 ± 3.59@@-0.48,0.51 ± 2.25 / 38.27 ± 3.76@@0.51,2.78 ± 0.75 / 0.25 ± 0.20@@2.78,12.87 ± 0.74 / 14.35 ± 0.70@@12.87,1.91 ± 1.15 / 24.31 ± 0.50@@1.91,0.21 ± 0.52 / 26.01 ± 0.71@@0.21,0.24 ± 1.53 / 20.01 ± 0.73@@0.24,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.14.0.dev0@@161400,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/PleIAs/Baguettotron'>PleIAs/Baguettotron@refs/pr/6#no-thinking</a>,📝,4.48@@4.48,?,320956992.0,65536.0,4096.0,✓,✗,(✓),✓,0.53 ± 1.36 / 15.13 ± 3.91@@0.53,2.36 ± 0.97 / 2.67 ± 0.89@@2.36,1.10 ± 0.70 / 1.31 ± 0.72@@1.10,-0.09 ± 1.24 / 40.93 ± 3.68@@-0.09,-0.38 ± 2.14 / 38.54 ± 3.27@@-0.38,1.77 ± 0.23 / 0.00 ± 0.00@@1.77,14.32 ± 0.50 / 16.80 ± 0.58@@14.32,2.31 ± 2.11 / 28.09 ± 2.37@@2.31,-1.01 ± 0.80 / 24.48 ± 0.91@@-1.01,-0.17 ± 1.74 / 20.42 ± 1.11@@-0.17,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.14.0.dev0@@161400,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/AIDC-AI/Marco-Mini-Global-Base'>AIDC-AI/Marco-Mini-Global-Base (val)</a>,📝,4.48@@4.48,7.94,17406164992.0,151936.0,32768.0,✓,✗,(✓),✓,-1.73 ± 1.16 / 22.10 ± 0.57@@-1.73,8.85 ± 0.97 / 7.68 ± 0.86@@8.85,9.18 ± 2.40 / 8.05 ± 2.03@@9.18,0.58 ± 0.58 / 33.26 ± 0.73@@0.58,0.00 ± 0.00 / 32.76 ± 0.48@@0.00,1.25 ± 0.31 / 0.00 ± 0.00@@1.25,12.00 ± 0.52 / 13.75 ± 0.59@@12.00,5.09 ± 1.61 / 26.52 ± 2.11@@5.09,0.00 ± 0.00 / 24.73 ± 1.52@@0.00,0.00 ± 0.00 / 20.31 ± 1.96@@0.00,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/PleIAs/Monad'>PleIAs/Monad</a>,🧠,4.70@@4.70,N/A,56656128.0,8192.0,2048.0,✓,✗,(✓),✓,3.12 ± 2.28 / 19.86 ± 5.48@@3.12,0.17 ± 0.27 / 0.15 ± 0.24@@0.17,0.01 ± 0.01 / 0.01 ± 0.01@@0.01,1.10 ± 0.89 / 36.95 ± 4.06@@1.10,-1.05 ± 1.33 / 36.34 ± 3.37@@-1.05,2.30 ± 0.25 / 0.00 ± 0.00@@2.30,6.28 ± 0.30 / 6.65 ± 0.34@@6.28,1.10 ± 0.86 / 25.80 ± 1.23@@1.10,-2.31 ± 1.04 / 24.34 ± 0.83@@-2.31,1.01 ± 1.37 / 20.63 ± 0.94@@1.01,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.14.0.dev0@@161400,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/ibm-granite/granite-4.0-h-tiny'>ibm-granite/granite-4.0-h-tiny</a>,📝,-@@100,1.23,6939037248.0,100352.0,131072.0,✓,✗,(✓),✗,50.93 ± 1.55 / 65.31 ± 1.32@@50.93,61.79 ± 1.35 / 44.73 ± 3.73@@61.79,58.40 ± 1.77 / 46.12 ± 2.71@@58.40,26.57 ± 0.79 / 61.80 ± 0.97@@26.57,18.73 ± 1.02 / 58.06 ± 0.90@@18.73,22.84 ± 2.50 / 1.93 ± 1.26@@22.84,-@@-1,25.02 ± 1.28 / 44.92 ± 0.86@@25.02,1.18 ± 1.32 / 26.08 ± 0.85@@1.18,61.26 ± 1.19 / 68.81 ± 0.94@@61.26,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,-@@0,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/jhu-clsp/mmBERT-small'>jhu-clsp/mmBERT-small</a>,🔍,-@@100,N/A,140642306.0,256000.0,8192.0,✓,✗,(✓),✓,33.29 ± 1.88 / 51.99 ± 2.07@@33.29,80.95 ± 1.44 / 81.26 ± 1.62@@80.95,75.78 ± 1.82 / 77.26 ± 1.84@@75.78,44.40 ± 7.60 / 71.28 ± 4.36@@44.40,36.76 ± 5.39 / 67.66 ± 2.72@@36.76,46.79 ± 2.55 / 29.35 ± 2.54@@46.79,-@@-1,-@@-1,-@@-1,-@@-1,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/marksverdhei/modern-norbert3-xs'>marksverdhei/modern-norbert3-xs</a>,🔍,-@@100,N/A,15000272.0,50000.0,512.0,✓,✗,(✓),✗,12.78 ± 1.64 / 37.33 ± 1.45@@12.78,9.57 ± 3.36 / 9.67 ± 3.41@@9.57,11.52 ± 1.79 / 11.62 ± 1.93@@11.52,0.53 ± 1.85 / 49.81 ± 1.06@@0.53,1.78 ± 1.44 / 50.54 ± 0.78@@1.78,0.02 ± 0.01 / 0.00 ± 0.00@@0.02,-@@-1,-@@-1,-@@-1,-@@-1,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/marksverdhei/modern-norbert3-small'>marksverdhei/modern-norbert3-small</a>,🔍,-@@100,N/A,40641104.0,50000.0,512.0,✓,✗,(✓),✗,2.19 ± 3.74 / 25.36 ± 2.01@@2.19,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,0.01 ± 0.01 / 0.01 ± 0.01@@0.01,1.80 ± 2.12 / 46.25 ± 4.17@@1.80,0.45 ± 2.86 / 46.56 ± 3.30@@0.45,0.92 ± 0.54 / 0.01 ± 0.02@@0.92,-@@-1,-@@-1,-@@-1,-@@-1,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/marksverdhei/modern-norbert3-large'>marksverdhei/modern-norbert3-large</a>,🔍,-@@100,N/A,354290512.0,50000.0,512.0,✓,✗,(✓),✗,17.40 ± 7.39 / 34.91 ± 5.37@@17.40,46.91 ± 1.78 / 49.42 ± 1.88@@46.91,47.88 ± 1.93 / 50.81 ± 1.95@@47.88,0.38 ± 1.34 / 39.32 ± 4.27@@0.38,0.23 ± 1.86 / 42.66 ± 3.49@@0.23,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,-@@-1,-@@-1,-@@-1,-@@-1,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,-@@0,-@@0,-@@0,-@@0
